Genes,293GFPnoIR1_S1,293GFPnoIR2_S2,293GFPnoIR3_S3,293HATertnoIR1_S4,293HATertnoIR2_S5,293HATertnoIR3_S6,293GFPIR1_S7,293GFPIR2_S8,293GFPIR3_S9,293HATertIR1_S10,293HATertIR2_S11,293HATertIR3_S12
MIR1302-2HG,0,0,0,2,0,3,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0
AL627309.1,2,1,0,8,6,7,5,6,3,6,4,3
AL627309.3,0,0,0,0,0,0,0,0,0,0,0,0
AL627309.2,0,0,1,0,0,0,0,0,0,0,0,0
AL627309.5,7,14,29,10,21,14,17,12,6,4,0,4
AL627309.4,0,0,0,0,0,0,0,0,0,0,0,0
AP006222.2,0,1,0,2,3,0,1,2,0,1,0,1
AL732372.1,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0
AC114498.1,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0
AL669831.2,0,0,0,0,0,0,0,0,0,0,0,0
LINC01409,53,66,141,84,137,141,107,178,69,80,43,38
FAM87B,4,1,2,1,3,12,7,4,2,0,1,0
LINC01128,398,583,953,775,1075,627,700,752,415,454,215,156
LINC00115,43,51,72,58,112,63,70,113,73,69,26,35
FAM41C,0,4,1,0,0,0,2,0,0,0,0,0
AL645608.6,23,33,47,26,44,40,28,32,16,16,9,3
AL645608.2,159,182,284,229,318,223,253,338,150,131,63,57
AL645608.4,2,0,2,6,16,2,5,6,2,3,2,1
LINC02593,1392,1588,2337,1615,2181,1550,1473,1500,887,813,365,277
SAMD11,2179,2865,4186,3222,4827,2879,2754,3056,1502,1518,655,524
NOC2L,7034,9090,13802,11644,17467,10866,10496,13237,6278,7758,3375,2774
KLHL17,1895,2460,3684,2678,3990,2638,2325,2776,1422,1490,673,494
PLEKHN1,19,18,18,8,26,24,14,18,11,10,3,0
PERM1,2,3,2,7,3,2,4,4,1,0,0,0
AL645608.7,236,440,492,478,650,482,437,424,235,200,111,66
