Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.5,9.47983653852025,-0.00454507374737474,0.568482688051138,-0.00799509614436295,0.993620904184646,
LINC01409,85.8672761861248,0.256422170965959,0.228859467866978,1.12043505718104,0.262528412727292,0.528572830982181
FAM87B,2.60632393475073,-0.0784957750325539,1.12021164017572,-0.0700722722540542,0.944136135974949,
LINC01128,518.586690994404,-0.0551666207623044,0.118807729678002,-0.464335282828985,0.642407549144134,0.830635907866985
LINC00115,62.1689721678832,0.532984881577339,0.244042795861628,2.18398121401437,0.0289636285142289,0.149229967173464
AL645608.6,22.5445985399107,-0.203004153288277,0.354847775084305,-0.572087998128344,0.567262359664782,
AL645608.2,175.066007487928,0.266984594904757,0.13904642029057,1.92011124304265,0.0548438494520831,0.218374715446346
AL645608.4,3.19828344677497,-0.456539096590252,0.91529326770312,-0.498789964593438,0.617927358062068,
LINC02593,1160.65521448887,-0.123434334447318,0.106193903314173,-1.16234859624793,0.245093894341591,0.507439998537373
SAMD11,2146.8561423618,-0.237883508527524,0.0991096796739715,-2.40020459464766,0.0163859104966064,0.103890051086731
NOC2L,8366.35006839828,-0.0788447642153845,0.0846148531116361,-0.93180761197282,0.351435960077668,0.616567729827814
KLHL17,1914.85012412966,-0.171327597356452,0.0856844207360698,-1.99951865093639,0.0455522659238114,0.196782298195775
PLEKHN1,11.9464474476868,-0.058529335264777,0.541669773209784,-0.108053537707944,0.913953223822759,
AL645608.7,304.60033272989,-0.2200140680089,0.169497769780665,-1.29803517942215,0.194275246585352,0.447411759370182
HES4,4653.4553198556,-0.079323623098247,0.125103626141248,-0.634063340487725,0.526039486050369,0.755794228125889
ISG15,134.073658569397,-0.0546997162259819,0.195338336613674,-0.280025504333863,0.779457937712381,0.90299391191442
AL645608.1,22.6880285853439,-0.21225487477309,0.390840114829744,-0.543073412168943,0.587079257943876,
AGRN,2612.08884368057,-0.159472076083809,0.0782446528638828,-2.03812107596965,0.0415378259000208,0.186460685455678
AL645608.8,10.6799764156249,0.43380192892125,0.526759449027555,0.823529468189108,0.410206966619405,
C1orf159,754.268695938703,-0.0430332271239684,0.102575942416387,-0.41952553503514,0.674832096903319,0.850454384417093
AL390719.3,18.8465332518507,0.201161621903552,0.377342199475304,0.533101312769333,0.593963450381241,
SDF4,3466.91349779168,0.0520284858418053,0.0838652193161605,0.620382159207919,0.535006215385371,0.761703923279837
B3GALT6,1463.55995341933,-0.245255528823092,0.106926721780099,-2.29367855611878,0.0218089693785254,0.124556925154685
C1QTNF12,43.5577288404897,-0.00144624862815531,0.377284611594164,-0.00383330934713818,0.996941469145614,0.998782118833476
AL162741.1,13.7220209862945,-0.423710165799821,0.535842895639318,-0.790735809409752,0.429098174979857,
UBE2J2,2077.40709398882,-0.0597215285028383,0.1033156220497,-0.578049353215037,0.563230799316552,0.78079023716731
LINC01786,49.797353339021,0.522306607134777,0.279631451923674,1.86783927037414,0.0617844778607633,0.233961372923629
SCNN1D,306.548009067568,-0.00935018081232939,0.155592552312218,-0.0600940126849191,0.9520807585321,0.980161585994107
ACAP3,1849.01694020478,-0.23729705032967,0.113036778732109,-2.0992906290443,0.0357912889935197,0.170033757051377
PUSL1,1037.12868102765,-0.317770047455602,0.146266716814611,-2.17253832160852,0.0298150823945741,0.151710441819702
INTS11,3347.31394535002,-0.0821868189804433,0.0833967519210156,-0.985491845752959,0.324382534840718,0.593655579114692
AL139287.1,135.334104840436,-0.00482045777239889,0.169092228314856,-0.0285078611858081,0.977257098259075,0.99139900573182
CPTP,591.378467550321,-0.183244951255659,0.0994504617745121,-1.84257516743499,0.0653910623604158,0.242129467360817
TAS1R3,14.4732733407934,-0.665315716220066,0.49371757987614,-1.34756335066492,0.177798864886686,
DVL1,4026.98262393647,-0.265665687839624,0.0957553351683088,-2.77442178415087,0.00552999298825985,0.0512471268021615
MXRA8,270.98825055602,-0.210673340951113,0.165440512379544,-1.27340841684411,0.202873152195231,0.457964952042938
AURKAIP1,4008.05617870387,-0.121202004640199,0.114530281537896,-1.05825291802933,0.289940151527712,0.557942006851079
CCNL2,5825.33773658955,-0.0581428546771669,0.0690396121589755,-0.842166588990724,0.399694712581166,0.657172130419635
MRPL20-AS1,1022.21304488369,-0.216341478863779,0.0885689049389652,-2.44263468101886,0.0145804881402173,0.0962312217254344
MRPL20,3610.86491100099,-0.0636546410996813,0.107178908281088,-0.593910146320396,0.552572212376703,0.77387392038901
AL391244.2,196.311057752532,0.131666795503432,0.199946847549359,0.658508984348597,0.510211125841131,0.744767559790956
ANKRD65,5.54367777955561,0.637818328806558,0.844830857495331,0.754965710766647,0.450269556474091,
LINC01770,15.5280524638909,0.240006068872246,0.42563050242763,0.56388362089499,0.572833337700328,
VWA1,635.20591190579,0.0501930625475059,0.144093410523246,0.348336973670342,0.727587129522527,0.879029722514492
ATAD3C,13.477837714639,0.00908507046797422,0.500558973179598,0.0181498503767998,0.985519309638929,
ATAD3B,2643.78305226991,-0.415189559348988,0.120957428318872,-3.43252634517371,0.000597985781272247,0.0123901188677083
ATAD3A,2550.97912188577,-0.300443292777656,0.104860755208597,-2.8651643046056,0.00416792923456148,0.0423682062686828
TMEM240,20.7493167363806,-0.435305332706633,0.402486463606009,-1.08154030524801,0.279456841941712,
SSU72,5255.71067504778,-0.0265386509976243,0.0833252035441222,-0.318494883526707,0.750109575111003,0.890027409563437
AL645728.1,56.9193976285419,0.284461462143631,0.223513559516721,1.27268100762518,0.203131259768235,0.457984660000704
FNDC10,1051.21130744062,0.189319943064909,0.10620639003614,1.78256640679046,0.0746569123156618,0.261413957479746
AL691432.4,81.1869014357224,-0.20580931051642,0.254262401393987,-0.809436666168791,0.418264018848756,0.67563421382804
AL691432.2,159.648848040782,0.227007129298213,0.178115843230419,1.27449150609554,0.202489280994894,0.457451990626301
MIB2,1252.74560038984,-0.132905710910554,0.109118888195709,-1.21798996588182,0.223227785850209,0.483346538245121
MMP23B,20.1838832826908,0.676427171664353,0.473814483394118,1.42762029311312,0.153401179394736,
CDK11B,1662.93573495587,0.147315375856856,0.0898467456716255,1.63962951307406,0.101082222806841,0.308340522801819
SLC35E2B,1675.61780167884,-0.26584165746874,0.0839987534477634,-3.16482860229658,0.00155174330895528,0.0229874929478884
CDK11A,613.593312486111,0.108124049763308,0.101619725426675,1.06400651359097,0.287325748826979,0.555122118656678
SLC35E2A,384.410232146086,-0.164322804597083,0.150998149525165,-1.08824383023116,0.276487480032466,0.542863968196091
NADK,2234.18888981235,-0.180379229095036,0.0881693450213436,-2.04582702810564,0.0407733918248011,0.184322989925131
GNB1,11915.8077639544,-0.0312840010642274,0.0552588097880177,-0.566135991423598,0.57130133828022,0.786418466469771
AL109917.1,45.1144706927115,0.282565820630829,0.271143572726226,1.04212619827111,0.297353173776184,0.56600850326277
CALML6,24.6999830887411,0.00159067436148241,0.379907258624397,0.0041870070270362,0.996659261498254,
TMEM52,186.145647792682,0.0976687129654908,0.179050409458491,0.545481651010317,0.585422296995103,0.79525739742407
CFAP74,15.3780129111678,0.0773442401236827,0.466787730507817,0.165694672478945,0.868397238847481,
GABRD,105.967708075024,-0.148318823746412,0.223668396093903,-0.663119270923475,0.507254169395116,0.742925840216055
AL391845.1,4.08105329134985,-0.0579349004121837,0.922564991170901,-0.0627976359027605,0.94992764843164,
PRKCZ,770.572557826942,0.255853032263396,0.10361388555989,2.46929290298172,0.0135380355699937,0.0917683473256589
AL590822.2,3.27860650391282,-0.230209002457314,1.06829940266466,-0.215491089747971,0.829384458243538,
PRKCZ-AS1,63.0101451610737,-0.0105990860146439,0.238508710981394,-0.0444389891297125,0.964554483500835,0.986480543296219
FAAP20,1523.69950689099,-0.0667022693823845,0.111425262294877,-0.598627887506002,0.549421055013939,0.770851741053214
SKI,3946.98401190208,-0.12914342213624,0.0658327654907876,-1.96168915544513,0.049798685173978,0.207060912846934
AL590822.3,30.6460768443663,0.140460456400431,0.328315463395183,0.427821629075579,0.668780988582262,
MORN1,414.466666408167,0.0605468887189992,0.112649889687384,0.537478455478507,0.590937162914489,0.798893395547458
AL513477.2,6.73868793124908,0.956288001132622,0.629409172208949,1.51934233461593,0.12867634883319,
RER1,2377.10961379129,-0.298938057289534,0.0885720318958515,-3.37508410827748,0.000737931342170476,0.0141620015029313
PEX10,587.67268287779,-0.164236046502959,0.12097836819344,-1.35756539747958,0.174601628954939,0.422907275288279
PLCH2,12.2291275362349,-0.221226659534067,0.533744471237087,-0.414480470441818,0.678522266714394,
PANK4,1264.0025279923,-0.214838570282527,0.0821099758248167,-2.616473432423,0.00888432778940498,0.0702131746440709
HES5,22.9283325961397,-0.320465283798954,0.366154084134009,-0.875219744050887,0.381454352265168,
AL139246.5,145.33914404061,0.115618618479391,0.216770359414444,0.533369132162299,0.593778080795964,0.800340449608427
TNFRSF14,6.54052972986053,-0.275947956033629,0.767522946384267,-0.359530561703199,0.719198219132114,
PRXL2B,620.8598556454,-0.0794225479100306,0.141467166562778,-0.561420362333941,0.57451100603684,0.788042694315173
MMEL1,5.68401227138291,0.739361105390139,0.697695220608446,1.05971932091688,0.289272310259217,
TTC34,79.0771563650866,0.504623411669321,0.203616881670837,2.47829849631567,0.0132010653661328,0.0902528622555719
AL592464.3,1.99106528688951,0.98508986556907,1.27307277042272,0.773789125378882,0.439055504368641,
PRDM16-DT,83.2909528732769,-0.0877897078886545,0.197358150581267,-0.444824333984145,0.656446707486223,0.839323752815026
PRDM16,590.044773586762,0.143784023462618,0.101886171450674,1.41122216504355,0.158179116521821,0.400002759049308
AL354743.2,5.06269156435346,0.675892462267546,0.857283943141499,0.788411433195344,0.430456085341075,
ARHGEF16,220.905134980239,-0.406095645879144,0.154223835524249,-2.63315747853576,0.00845951138477294,0.0685040970884938
MEGF6,193.11094645974,-0.115657828199723,0.186202786137238,-0.621139084967713,0.534508114850084,0.761492554903826
AL513320.1,6.72903415741833,0.942529398898519,0.766662816335951,1.2293923466943,0.218924738336548,
TPRG1L,597.923000006487,-0.144827124133685,0.109338508878626,-1.32457562865115,0.185311943672228,0.436198781817196
WRAP73,1796.23733108847,-0.219818424395449,0.0872455340366645,-2.51953784021852,0.0117509009066192,0.084568983652424
TP73,704.34462171905,0.143391445036678,0.0869977921077249,1.64821935778696,0.0993076658945072,0.305003934265841
CCDC27,91.2426778820698,-0.302599721501015,0.196252137920502,-1.54189261175638,0.123099691633615,0.343977453077821
SMIM1,27.8171166797444,0.374092261051516,0.381747753596678,0.979946201456235,0.327112675337794,
LRRC47,2542.60855766348,-0.259551646656268,0.0940630358363422,-2.75933733531474,0.00579187134572889,0.0529486616943999
AL365330.1,26.2760687813383,-0.589349752454811,0.326919943539816,-1.80273416810692,0.0714299733817126,
CEP104,1729.76752113103,0.0571507047398491,0.0756869622353467,0.755093123729031,0.45019310873027,0.700028009302746
DFFB,787.560027951918,-0.216381655877362,0.0911212539001843,-2.3746562587296,0.0175652996307518,0.108791804971484
C1orf174,844.45578527719,-0.165579056282611,0.0882873910585152,-1.87545530904711,0.0607301122348582,0.231213788646352
LINC01134,19.4459433931094,-0.04405899742486,0.469837412054663,-0.0937749874625437,0.925287901224046,
NPHP4,608.098051612187,-0.282005969166067,0.10536284098923,-2.67652206905557,0.00743906663651992,0.062245251448432
KCNAB2,328.234847779145,0.0136433114585726,0.120167901677345,0.113535405612768,0.909606094921214,0.961138275394677
CHD5,56.2858856711527,0.117426544875151,0.28337187860753,0.414390254432363,0.678588324983117,0.851787159317815
RPL22,10910.3101062093,0.278139768323359,0.0860876209475506,3.23089156445405,0.00123404746715092,0.0200440122815749
AL031847.1,5.58684993841631,-0.144255123606015,0.846462354221847,-0.170421192255654,0.864678906910851,
RNF207,289.603933396077,-0.0454502819631617,0.133664622552337,-0.340032247091898,0.733832243604154,0.881771781169112
ICMT,5822.26768228784,-0.209808277309087,0.0791718969596175,-2.65003473917143,0.00804834948066587,0.0661970629017685
LINC00337,64.6623490624651,-0.0443062478448816,0.227745850194378,-0.194542503439983,0.845751118463114,0.932194786388905
GPR153,492.205119269798,-0.0276333720158446,0.111777576906511,-0.247217490131824,0.80473991016207,0.915476301708425
ACOT7,3025.89218406657,-0.256017328492254,0.102578459872628,-2.49581957859527,0.0125666500693825,0.0877831811147458
HES2,34.8194875427582,0.916122833044711,0.351584749862153,2.6056955923256,0.00916879076381309,
ESPN,6.02026828847155,-0.0976983817549956,0.725997206980478,-0.134571291481046,0.892950841176051,
TNFRSF25,155.042855199553,0.290325668271976,0.180399975956128,1.60934427365213,0.107541083188369,0.319190803557936
PLEKHG5,470.565198129146,0.261356897188902,0.106682344398293,2.44986083370215,0.0142911437942497,0.0950167938752818
NOL9,1719.4499603302,-0.103487367858678,0.103058371043606,-1.00416265860529,0.315300217616096,0.585112674568808
ZBTB48,876.371934065715,-0.127758825419425,0.0816948494868466,-1.56385410123064,0.117851835589542,0.336366564456384
KLHL21,1364.63789615527,-0.622775179921547,0.138331898257354,-4.50203595676053,6.73055911950816e-06,0.000662212358435749
PHF13,1321.17230355219,-0.22443169680971,0.100276655015163,-2.23812508280989,0.0252128993806713,0.136100970508247
THAP3,579.518273127333,-0.200307094534448,0.114017820629789,-1.7568051505285,0.0789510268934152,0.269542590315215
DNAJC11,2289.75211115107,-0.0352187620689294,0.0757500951069035,-0.464933568983991,0.641979030083033,0.830635907866985
CAMTA1-DT,29.1064555816203,0.250568050099861,0.338832136800105,0.739504972775603,0.459600421250269,
CAMTA1,1892.30538840435,0.102766538799954,0.0840985235357433,1.22197791922323,0.221715977203693,0.481870854279497
AL359881.3,2.81197982668226,-0.516536330469171,1.10172401764642,-0.468843668827909,0.639181383473554,
AL359881.2,8.15182150255558,0.025436033046326,0.624309916562953,0.0407426381857914,0.96750106944185,
AL359881.1,9.45165359297908,0.458982415848055,0.605405886934919,0.758139994594066,0.448367179013306,
VAMP3,3375.15893189083,-0.0057232391917281,0.0760221487971759,-0.075283838753328,0.939988879795537,0.974959377134368
Z98884.2,9.18696705887899,-1.18231192195027,0.622897049615364,-1.89808560287827,0.0576848063917942,
PER3,100.951169216373,-0.151944879338595,0.180249463516032,-0.842969939408894,0.399245256112797,0.656864565206075
TNFRSF9,32.3092936760941,-3.37145315255597,0.518343078938572,-6.50428893438648,7.80617325096007e-11,
PARK7,7079.97913852316,-0.147659447385741,0.0948113191502552,-1.55740315301102,0.119374798029055,0.338746018735972
AL034417.4,35.5519382073706,0.354132013572339,0.333403996005831,1.06217087321937,0.288158120078085,
ERRFI1,1229.77342768625,0.171893573767383,0.077597340901931,2.21519928092157,0.0267463892265161,0.14108329287905
SLC45A1,3.0809371486916,-0.395429139886226,0.932792526616664,-0.423919712693764,0.671624367276908,
RERE,2552.2904096888,0.103944264414326,0.0865573864954879,1.20087110554967,0.229801204148098,0.490728904295548
ENO1,85037.7743230759,-0.12451750987712,0.0901984869381316,-1.3804833551424,0.167437871067487,0.413777971788693
ENO1-AS1,10.7349325669304,-0.31980737841486,0.501061254453904,-0.638260044200407,0.523304416821021,
SLC2A5,4.150040892034,-0.437738466253083,1.07738433833014,-0.406297410013907,0.684524088188139,
GPR157,434.865487191182,-0.212881193906978,0.111628435839706,-1.90705166031948,0.0565138980878879,0.222212450197362
MIR34AHG,753.493048595265,0.440768905485772,0.115061616963588,3.83072059230019,0.000127768528239789,0.00444397991538391
LNCTAM34A,64.5533563089549,0.47194977882516,0.233234948128306,2.02349511774511,0.0430221264349184,0.189667439121683
H6PD,708.897390731698,-0.142671604467559,0.110576150698182,-1.29025656587542,0.196961592015427,0.451217463591047
SPSB1,293.121169484387,0.00792173682162285,0.140756689464778,0.0562796471822756,0.955119032328539,0.981376101716672
BX323043.1,5.11738680464143,0.488438144877163,0.817036026271815,0.597817145353965,0.549961949164986,
LINC02606,22.7642401295258,0.284708162965189,0.370029850823061,0.769419446382259,0.441644347966528,
SLC25A33,676.323437461521,-0.419609755024157,0.135941364454362,-3.08669665563807,0.00202394020484571,0.0268733179308758
TMEM201,1519.11626790889,-0.335104273527307,0.115761691279774,-2.89477693201133,0.00379428058892226,0.0400884602109551
PIK3CD,325.691478989075,0.0244272705698078,0.140588991385946,0.173749525684767,0.862062313567617,0.939148382409851
PIK3CD-AS2,385.982841100432,0.299928560441099,0.153246889006626,1.95715921142211,0.0503287526815304,0.208064397291191
CLSTN1,4820.86731117662,-0.0647117537051292,0.0636137321798791,-1.01726076253701,0.309029397149263,0.579109105738163
CTNNBIP1,640.297217531968,-0.138352927876234,0.112868213891894,-1.22579177170952,0.220277044413137,0.479790791821181
LZIC,1607.69327677001,-0.0729363316725899,0.0746653092672959,-0.97684362910068,0.32864657284189,0.597203896105331
AL357140.2,12.7336780442011,0.417836453616651,0.543681476721275,0.768531707455723,0.442171360648705,
NMNAT1,298.341603602012,0.187011868058555,0.136677511919166,1.36827094254656,0.171227282673676,0.418665631146534
RBP7,79.0817606900246,0.226006189581276,0.212620320779307,1.06295667673206,0.287801598580415,0.555565077584965
UBE4B,3188.15695303916,-0.00572414328506336,0.0662972763059132,-0.0863405497784049,0.931195704749122,0.970952364770007
KIF1B,3845.89239727478,-0.0260977318965184,0.0890627603981616,-0.293026308412704,0.769502042660449,0.898848539859784
AL139424.3,7.88560180485034,-0.282658645450467,0.584800792151285,-0.483341762261746,0.628853091833285,
AL139424.2,26.8667159576964,0.237584546315961,0.362677314730105,0.655085213953251,0.512412891374081,
PGD,8963.39118526473,0.0337459045408482,0.0663251233585759,0.508795202059505,0.610895782827281,0.810657439766469
AL139424.1,7.63437948953481,1.08081012083735,0.737203310811181,1.46609504459235,0.142622395555093,
CENPS,718.568153419645,0.122099004473463,0.0934162027092346,1.30704311385366,0.191198069393085,0.443214797164913
CORT,61.14199935623,-0.0981730118421351,0.279508392986023,-0.351234575796957,0.72541237273103,0.877891717625298
DFFA,7542.59079523028,0.137961621567395,0.0635425312895747,2.171169746743,0.0299183433361383,0.152007204407792
PEX14,1167.00752841395,0.127123715892354,0.0836372977055757,1.51994049759787,0.128525931009666,0.35244342248901
CASZ1,287.462837061102,-0.091693485480471,0.142969199733624,-0.641351323580965,0.52129445083441,0.752251911240355
AL139423.1,15.5057011791441,0.322421958867216,0.456688235099415,0.706000142081675,0.480188049093927,
C1orf127,4.39091246107611,-0.205372266229406,1.03537715809577,-0.198355029009062,0.842767299967074,
TARDBP,12030.6842585407,0.0565377927395821,0.0650713200275592,0.868858856953218,0.38492433570335,0.643556370615079
MASP2,121.630426629085,0.261507803255523,0.203119986103497,1.2874548106865,0.197935810625336,0.451995192871021
AL109811.2,145.428979223387,0.268337906275803,0.145359383823126,1.84603084588139,0.0648877267649019,0.240854688994476
SRM,6273.44830066828,-0.203740204000598,0.0997920543051191,-2.04164755820791,0.0411865041775856,0.185484538470505
EXOSC10,4554.19927291071,0.0234400644937207,0.0902671300029095,0.259674418506107,0.79511492695713,0.911461752438351
AL109811.1,4.63316339462389,-0.547003734972615,0.732821853328913,-0.74643480197513,0.455404802649332,
EXOSC10-AS1,34.2039181513427,-0.439473229305807,0.312313020498454,-1.40715628379632,0.1593810514517,
MTOR,5162.7204294652,-0.131959460868552,0.085201608890904,-1.54879071635278,0.121432037968091,0.342143997023798
UBIAD1,1135.15210168431,-0.12266600818342,0.0935125155146517,-1.31176032970902,0.189601013863594,0.44100081099784
DISP3,17.4770774952417,-0.0514594623315026,0.426255407169068,-0.120724479891681,0.903909268657363,
FBXO2,58.6104589628282,0.279203609506047,0.266129596582779,1.04912648984233,0.294119905701816,0.562942753451064
FBXO44,1080.3994490383,0.0956874132394607,0.0915187260509773,1.04555010071011,0.295768797814868,0.564501598876451
FBXO6,11.7341922662544,-0.580362638799869,0.597692366298554,-0.971005606770575,0.331545486571812,
MAD2L2,2172.49652558242,-0.30058533222229,0.110777081414088,-2.71342527159289,0.00665915857061001,0.0576134616263433
DRAXIN,7.37738045610482,0.483855553053172,0.6094059769906,0.793979007955537,0.427207652186571,
AGTRAP,1187.14012408185,-0.351339513072069,0.102139541735283,-3.43979919141053,0.000582145942961244,0.0121549916794223
C1orf167,22.7526296308452,0.057989868091224,0.388320013230976,0.149335254726444,0.88128909791048,
MTHFR,654.868255058533,-0.333483022517596,0.100450563534773,-3.31987209212772,0.000900587001937366,0.0160539422084487
CLCN6,744.134322279552,-0.055620586841375,0.0916302880030343,-0.607010935505661,0.543843654928509,0.766879067345777
NPPA,3.20945377217898,-1.20825152457828,1.06312897004439,-1.13650512649264,0.255745221264992,
AL021155.5,15.9635772169769,-0.126649197539303,0.462198012239409,-0.274015019938471,0.784073079027619,
KIAA2013,1840.66542905395,-0.231804855757394,0.107226552102554,-2.16182327242688,0.0306318009302143,0.154587193802984
PLOD1,3339.23879703941,-0.127186872173061,0.0833619831268664,-1.52571792803319,0.127080127688675,0.349943985370951
MFN2,4966.86854644532,-0.314191396374016,0.0697003846902899,-4.50774264403431,6.55209808658575e-06,0.000662212358435749
MIIP,1072.44049816197,-0.244834257706356,0.1146810504356,-2.13491467663043,0.0327679802637201,0.161768952444209
TNFRSF8,7.57897610267786,-0.830674946228994,0.989320199548752,-0.839642156915305,0.401109054862465,
