Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.5,9.47983653852025,-1.03485914031801,0.725502058723668,-1.42640414024265,0.153751719298608,
LINC01409,85.8672761861248,0.23066201072078,0.245020223600773,0.941399886633897,0.346499971676486,0.545388304933569
FAM87B,2.60632393475073,-2.4716763567387,1.54018004253931,-1.60479702922499,0.108538479983258,
LINC01128,518.586690994404,-0.207644207548485,0.125690874253637,-1.65202293946552,0.0985298745977195,0.233693584645101
LINC00115,62.1689721678832,0.594901519326958,0.261787698843029,2.27245788077945,0.023058869187788,0.0802634678950331
AL645608.6,22.5445985399107,-0.616501526386674,0.421362085078187,-1.46311580519229,0.143435693775912,0.304194355854042
AL645608.2,175.066007487928,-0.220087337233054,0.158859770663046,-1.38541895354915,0.165924398764735,0.335909006076438
AL645608.4,3.19828344677497,-0.479237657249853,1.01907594116426,-0.470266874029369,0.638164361200843,
LINC02593,1160.65521448887,-0.521763822148994,0.111166310459005,-4.69354267488626,2.6851394459552e-06,4.82967406421116e-05
SAMD11,2146.8561423618,-0.647022730730478,0.102072736191533,-6.3388398790092,2.31501674130908e-10,1.85780093490054e-08
NOC2L,8366.35006839828,-0.150652087526478,0.0852161097077144,-1.76788271658029,0.0770805127590559,0.196933922828584
KLHL17,1914.85012412966,-0.445048215061372,0.0889439400587936,-5.00369350365171,5.62421547995713e-07,1.31204445426325e-05
PLEKHN1,11.9464474476868,-0.874982686301636,0.654945747322048,-1.33596208522504,0.181561666243202,0.356732678965538
AL645608.7,304.60033272989,-0.725031037919844,0.181487834229687,-3.99492914220498,6.47136044155008e-05,0.000711894003337071
HES4,4653.4553198556,-0.233514098537271,0.12604008439578,-1.85269709756786,0.0639257862696732,0.171430053404888
ISG15,134.073658569397,-0.349072526867203,0.214367304030559,-1.62838511425904,0.103443251984094,0.241684076936732
AL645608.1,22.6880285853439,-0.650511097210929,0.45045553745077,-1.44411832717679,0.148705693607569,0.312193243818976
AGRN,2612.08884368057,-0.478322172014671,0.0810586491135226,-5.90093934756773,3.61437771002598e-09,1.91454660877614e-07
AL645608.8,10.6799764156249,0.251472060077615,0.588549807973112,0.427274049996978,0.669179731521483,
C1orf159,754.268695938703,-0.162566085243437,0.108072726044833,-1.50422859858276,0.132522516475585,0.287624934338491
AL390719.3,18.8465332518507,-0.432629525931816,0.447611083756404,-0.96652996682106,0.333779059315496,0.533474796057928
SDF4,3466.91349779168,-0.0465528791131091,0.0853076824923334,-0.545705588910973,0.585268329542858,0.750708604266451
B3GALT6,1463.55995341933,-0.444128106430908,0.110213297384155,-4.02971435363985,5.58446719961782e-05,0.00063067881442335
C1QTNF12,43.5577288404897,0.331649803761194,0.394298149965162,0.841114278092597,0.400283917011849,0.597445919787417
AL162741.1,13.7220209862945,0.935944226269693,0.525474744693517,1.78114026548618,0.0748895392111884,0.192501137786607
UBE2J2,2077.40709398882,-0.216843881147198,0.105487984394346,-2.05562635775245,0.0398185451791223,0.120174435901638
LINC01786,49.797353339021,0.929731364309318,0.292855380533036,3.17471156793187,0.00149985506857016,0.00920913307213123
SCNN1D,306.548009067568,-0.27568026716387,0.166072264298869,-1.66000185718999,0.0969140789180289,0.231159305488834
ACAP3,1849.01694020478,-0.568141540287292,0.115888047422208,-4.90250334633231,9.46230026920592e-07,2.0597889301856e-05
PUSL1,1037.12868102765,-0.64244959620976,0.150301021546385,-4.27441935922898,1.9163604731071e-05,0.000255461674363529
INTS11,3347.31394535002,-0.173431104261813,0.0849369342540029,-2.04188090593392,0.0411633462355032,0.12332867408621
