Gene,logFC,logCPM,F,PValue,FDR
TERT,-8.83694979845236,10.8566276409822,4587.58943047955,1.0064332786683e-25,1.73770769894869e-21
HSPA6,-2.19819503251543,3.89668178950257,328.927509306745,3.72434815735161e-14,3.21522976424165e-10
GDF15,-1.71258512871954,3.137383669416,131.465467255323,2.07416684167423e-10,1.19375215627824e-06
CRYAB,-3.49800520003693,0.747282935607624,101.273627105289,6.9913055855615e-10,3.01779705600762e-06
MTRNR2L12,1.34052653371242,5.08622728394711,75.144021489903,2.55959303485624e-08,8.83878666796558e-05
BTG2,0.695481833602242,5.74198042447357,69.174446271585,5.01328222815526e-08,0.000144265551585548
113384206;113383725;113384221;113384221;113384221;113383725;113384221;113383735;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384216;113384206;113384206;113383952;113383740;113383725;113383725;113383725;113383724;113383724;113383724;113383724;113383724;113383724;113383723;113384221;113384221;113384221;113384221;113383725;113383725;113383724;113384221;113384221;113384221;113384206;113383732;113383725;113383724;113383724;113383724;113384221;113383725,13.1973776365892,5.05832006101403,71.3482720513524,8.5887396147886e-08,0.000211847397412771
HMOX1,-0.632095986171913,4.57508829310426,52.664078068278,4.20616373928588e-07,0.000907795289031375
TNFRSF9,-3.37112617534495,-0.175949260271411,50.6614764422499,5.21867972091588e-07,0.000933526789575053
DNAJB1,-0.570066096835161,7.08859086137981,50.9310147282729,5.40673456257994e-07,0.000933526789575053
PRDX3,-0.68680921768938,8.42116755548083,48.903605659974,7.31138737824134e-07,0.00114762194975195
RETREG3,-0.500976796239664,5.3546128091154,48.1948025026589,8.14236074084039e-07,0.00117155000459458
BASP1,0.777391418449152,3.73300004911525,44.8039685443074,1.38501766483324e-06,0.00183951653853929
PPP1R15A,0.662999702915946,5.68296852338584,43.8315202349841,1.6212882616478e-06,0.00199951165182936
APOBEC3C,0.502181607858575,5.83937515590768,42.6507893138571,1.96962378826779e-06,0.00223681925684568
RHBDF2,-0.596801975539235,4.00280993481113,42.3449403716726,2.07280830010024e-06,0.00223681925684568
INTS5,-0.604908494330086,4.80964984796618,41.6044361182681,2.34779826368705e-06,0.00238453440122474
LRP3,-0.543372413766108,5.87770257704792,41.2294072280167,2.50215722245275e-06,0.00239167713862613
FIP1L1,0.501540733806305,6.38125741537195,40.933412777534,2.63186989655372e-06,0.00239167713862613
PRAF2,0.685350668892281,5.4730504378562,40.2125517886698,2.97978453450018e-06,0.002572447988634
NUCB2,0.510594276918218,6.40332494398076,39.6571804884472,3.2822876430892e-06,0.00269866564026563
FXYD5,0.648736230076035,4.5258604407944,38.1030133267897,4.32366728657186e-06,0.00327294557229084
TBC1D13,-0.611813549872636,5.35737489745729,37.9354604978876,4.45600686954127e-06,0.00327294557229084
MT-ND3,0.740349573525358,10.3212725682553,37.6382090747446,4.70187514644945e-06,0.00327294557229084
EGR1,0.878375852606469,3.99086500111644,37.5949873960009,4.73900378242042e-06,0.00327294557229084
KLHL25,-0.649805837899547,3.58085339854807,37.1753703246667,5.11534250843116e-06,0.00339698091348355
ACTA2,0.853290891105367,2.71512818693922,36.9600226058719,5.32157499076084e-06,0.00340304865890654
AC026803.2,-2.11966517410209,-0.211328155116049,36.3023302156553,6.1360050177935e-06,0.00378031414848933
PSMC3IP,0.51262263221916,4.96854430295399,36.0044617680845,6.34942142396563e-06,0.00378031414848933
AP5S1,-0.578270176298816,3.54029237529086,34.8344742158155,7.91776851737109e-06,0.00410928782098625
POLR2E,-0.538936700243125,7.47554929566602,34.5895643717733,8.29669352224057e-06,0.00410928782098625
SLC7A5,-0.420827032613534,7.90026514940653,34.5557590814152,8.35061165795815e-06,0.00410928782098625
EMX2,0.776154421647319,3.28025971787921,34.2253987213986,8.89879852521078e-06,0.00410928782098625
MT-CO2,0.697407288918775,12.7915465376544,34.2017805057595,8.93890454843627e-06,0.00410928782098625
CASS4,2.04492805780771,-0.134624536521123,34.1475543822075,9.10705400370104e-06,0.00410928782098625
TPM4,0.449818935101178,7.58293746135985,34.0893775411356,9.13512003723323e-06,0.00410928782098625
NDUFB6,-0.428944745772113,6.22759196865054,34.0689767440889,9.17124458000938e-06,0.00410928782098625
RSRC2,0.455853223892944,7.40006841680385,34.0326085534266,9.23601196872678e-06,0.00410928782098625
DHCR7,-0.465570546267376,6.90650985482761,33.958334049081,9.36986971088809e-06,0.00410928782098625
ANKRD1,-1.86337859222689,0.392865352924578,33.8754815449517,9.62459158168046e-06,0.00410928782098625
ARHGAP30,-1.00610381572567,1.65566759775347,33.7224383072171,9.81551170376263e-06,0.00410928782098625
STC1,1.66154806213606,0.0804066377559569,33.6572289489303,9.9959509140173e-06,0.00410928782098625
SNHG16,-0.573144567748263,5.67408829291138,33.3397898601029,1.05711264689432e-05,0.00424467603750637
FASN,-0.448057805882379,9.30601028290305,33.0269882181665,1.12421403556822e-05,0.00433529860319256
TMEM258,-0.527641348254138,5.81050026295556,32.9243087582748,1.14725626984224e-05,0.00433529860319256
LSM6,0.45892613579623,5.23735913166802,32.8902573429295,1.1550083154573e-05,0.00433529860319256
MT-ND6,0.828121467951608,10.5741635207001,32.428327796317,1.26608048395308e-05,0.00445367106839173
C2orf74,0.555190145435361,4.05865292805806,32.4211336847311,1.26793052944208e-05,0.00445367106839173
UQCRB,0.582587445661278,8.22117091391487,32.376497519906,1.27925830230791e-05,0.00445367106839173
CYB561A3,-0.507323173229086,4.18020880583449,32.3359433836234,1.28972288555303e-05,0.00445367106839173
CFDP1,0.531817643029583,7.07175435724196,32.1342738839831,1.34287335017478e-05,0.00454628456159172
COMMD5,-0.608076878651228,4.19540237190066,31.882010461006,1.4128776001409e-05,0.00469129704692938
