Gene,logFC,logCPM,F,PValue,FDR
TERT,-8.06916973174435,10.8566276409822,4096.61203988588,3.21923604507701e-25,5.55833295542997e-21
HSPA6,-2.30834056362397,3.89668178950257,319.832920556599,4.89231522025918e-14,4.22353572964975e-10
CRYAB,-6.26151016950448,0.747282935607624,161.692846925653,7.18614088911033e-12,2.62317684840313e-08
MT-ND3,-1.68275375618231,10.3212725682553,185.619795908274,8.7884394759147e-12,2.62317684840313e-08
MT-CO3,-1.50063230646435,13.0567225264792,181.798546445359,1.06691030100035e-11,2.62317684840313e-08
MT-ND1,-2.0099179984939,11.823185340735,180.386552280876,1.14723334657664e-11,2.62317684840313e-08
MT-ATP6,-1.99663658195879,12.4574688401562,179.51144030276,1.20033165049857e-11,2.62317684840313e-08
MT-ND6,-2.01026580084738,10.5741635207001,179.270526968282,1.21541844012655e-11,2.62317684840313e-08
MT-ND2,-2.08639997901192,11.8276168987943,168.620019414664,2.14462677625501e-11,3.78724951388585e-08
MT-CO2,-1.57652816944215,12.7915465376544,168.209621590708,2.19347243941031e-11,3.78724951388585e-08
MT-ND4,-1.82974970163183,13.1388009275884,150.019669948281,6.27470059669284e-11,9.70535425210393e-08
MT-CO1,-1.47959753917637,13.8290524040013,148.619307811911,6.83503574661555e-11,9.70535425210393e-08
MT-CYB,-1.54565781729528,11.7437195056961,146.423319316496,7.82748180024976e-11,9.70535425210393e-08
PKD1,1.08574353533889,5.95678317482009,146.337418478464,7.86950999243918e-11,9.70535425210393e-08
MT-ND5,-1.65450958459763,12.0641844712725,138.339319578389,1.3101029536114e-10,1.44115395712649e-07
PTMA,-1.01992102936371,10.6694114088078,138.045887421569,1.33548380134507e-10,1.44115395712649e-07
CYB561A3,1.2195852324143,4.18020880583449,136.435634166387,1.48491335548733e-10,1.50814788210849e-07
YBX1,-0.873773965200438,10.7933736754664,129.477867204974,2.37718648394356e-10,2.28025010176497e-07
FILIP1L,-2.97179726130116,1.48329950052704,125.108217921439,3.24919401131081e-10,2.66995284667419e-07
TELO2,1.22577466067311,6.35431982482439,124.252068236091,3.43540716115661e-10,2.66995284667419e-07
MFSD10,1.44884951736573,5.66297887563239,124.09363585531,3.47477271880062e-10,2.66995284667419e-07
MT-ATP8,-2.23342632991973,10.6331553308929,123.81535624162,3.54488757395684e-10,2.66995284667419e-07
COL18A1,0.913623837962601,6.18988779410602,123.769426592202,3.55663821808794e-10,2.66995284667419e-07
TSPO,1.46698494832859,5.60325826412772,122.742729306066,3.83052204100736e-10,2.7463122722219e-07
GPATCH4,-0.910295680045554,7.55882426556972,122.227500174035,3.97647438929384e-10,2.7463122722219e-07
SSB,-0.892075726536089,8.66615556266078,121.370649690742,4.23307476034704e-10,2.81108726200585e-07
NSA2,-0.946807671365736,7.6229289366117,119.369570210349,4.90602002571967e-10,3.03471074330758e-07
GDF15,-1.7846699648269,3.137383669416,119.026548668301,5.0342021161054e-10,3.03471074330758e-07
LRP3,0.981928105343132,5.87770257704792,118.664434092124,5.17050811575057e-10,3.03471074330758e-07
ESRRA,1.26327120085809,4.89385649559545,118.189579709284,5.35752395140772e-10,3.03471074330758e-07
HNRNPA1P48,-0.982161858863206,5.34805412793567,117.846252619969,5.4970539399872e-10,3.03471074330758e-07
CIR1,-1.19225154210797,5.48446037836676,117.541565345565,5.62439150850472e-10,3.03471074330758e-07
ZCRB1,-0.984943780941253,6.37239287003621,116.937519320709,5.88650895990306e-10,3.07989283944504e-07
TCEAL9,-0.991760352722537,6.77308819137878,115.660948849259,6.48571756046617e-10,3.26692485453063e-07
PLEKHG4,1.02682474072969,4.84417904076035,115.235352468022,6.7003712721873e-10,3.26692485453063e-07
SGSM3,0.993616505826301,6.5840941015202,115.019912855795,6.81161211416094e-10,3.26692485453063e-07
FRG1,-1.02874560248352,4.84746663733087,114.506907859957,7.08547696783141e-10,3.29954660383659e-07
WDR90,1.24996483791555,5.63775678437599,114.150064860171,7.28304917941974e-10,3.29954660383659e-07
RWDD1,-0.932933960945162,6.77574901313147,113.851263585868,7.45293163150858e-10,3.29954660383659e-07
HMGN5,-1.49254053555471,7.36293089163063,112.629999265907,8.19468123070837e-10,3.53723415323527e-07
AGRN,0.838806924637474,6.30911959604826,111.85791116478,8.7052303960393e-10,3.66596361019548e-07
PABPC1,-0.789728788884716,10.4253673835517,110.52397103316,9.67146268571272e-10,3.97589225551228e-07
ASB13,0.953845863482569,5.44437583908017,109.760229267009,1.02774877326507e-09,4.05568548929691e-07
CCDC59,-0.912250719380299,5.96663618135785,109.689614730244,1.03353504881886e-09,4.05568548929691e-07
NCL,-0.834681396534817,11.0532931486447,109.040132739562,1.08867152113589e-09,4.17711166309605e-07
AC112491.1,-2.11701133117002,4.64165892549127,108.583905558845,1.12937072218819e-09,4.20667843468061e-07
HES6,1.2574082508814,4.95480063294352,108.083437339895,1.17589982503343e-09,4.20667843468061e-07
MPHOSPH10,-0.940903467861335,6.43198693841084,108.03590050071,1.18038905748073e-09,4.20667843468061e-07
KIFC2,1.13276777035911,4.96150778498642,107.480468747032,1.23477549090887e-09,4.20667843468061e-07
SEMA4C,0.984480191766117,4.63954912170469,107.199275944089,1.26334870092099e-09,4.20667843468061e-07
RPL10,0.981623427694426,9.95975296387526,106.789334865724,1.30621958317731e-09,4.20667843468061e-07
LAMA5,0.886072668753694,5.74610424493383,106.601964362465,1.32639160731145e-09,4.20667843468061e-07
TCEAL4,-1.07329924395863,7.20691272169696,106.571144642483,1.32972250558932e-09,4.20667843468061e-07
TUBGCP6,0.833721754624494,6.42022201249492,106.05206429361,1.38752466244212e-09,4.20667843468061e-07
FIP1L1,-0.833703101820255,6.38125741537195,106.011338764317,1.39217302596755e-09,4.20667843468061e-07
SBF1,0.867309815352819,7.36874979404128,105.884348057468,1.40678196621083e-09,4.20667843468061e-07
MT-ND4L,-1.76812127952664,10.2760446653679,105.878699723494,1.40743473873788e-09,4.20667843468061e-07
MTRNR2L12,-1.66617243111819,5.08622728394711,105.829996677376,1.41310870619411e-09,4.20667843468061e-07
UBE2V1,-0.760918208055227,7.76748042110085,105.428671939502,1.46060640663699e-09,4.27437800288038e-07
ANKRD9,1.12082693625468,4.94699772095981,104.739604719893,1.54639165001312e-09,4.44999970485444e-07
SNRNP27,-1.12121236453346,5.54013742983874,104.014327638972,1.64259269839687e-09,4.62088706455846e-07
WDR6,0.784179574179687,7.57679796830897,103.893126522984,1.65930150586485e-09,4.62088706455846e-07
SNX17,1.11582188282487,6.46383799583629,103.652449926993,1.69305360168845e-09,4.6400418232941e-07
CACYBP,-0.678958845704729,8.22230936356023,101.977092515279,1.94992641127392e-09,5.26053584641491e-07
MOCS2,-0.835926390986241,6.1470251926432,101.749176299394,1.98806333928217e-09,5.28090794093015e-07
RSRC2,-0.803340743695105,7.40006841680385,101.343086916467,2.05804862795521e-09,5.38397994095071e-07
DHFR,-0.665869188812893,7.98129393795145,100.946498367513,2.12901597747905e-09,5.43911280237232e-07
DDX10,-0.819387699544895,6.63965729809499,100.852646418319,2.14620203945787e-09,5.43911280237232e-07
IK,-0.836524501315937,7.51681548908465,100.704543355139,2.17362900129555e-09,5.43911280237232e-07
LAGE3,1.26717565183932,5.71816729799736,100.16136215781,2.27761146574169e-09,5.61789136678515e-07
ARHGAP30,-2.06720467566175,1.65566759775347,99.9173854540865,2.32981264749612e-09,5.64599960441248e-07
HNRNPUL1,-0.75172731096152,9.12575498694496,99.7769782780104,2.35440734111953e-09,5.64599960441248e-07
HNRNPC,-0.762665835617824,10.3902642831752,97.326929064096,2.91637199877881e-09,6.89781903163219e-07
DNAJC8,-0.775673794322293,8.73683074104729,96.0192707748398,3.27537487681816e-09,7.64224630042464e-07
NME3,1.56870714522649,5.32042127572504,95.8573964544473,3.32318232446675e-09,7.65040880189905e-07
GPS2,-0.916112834375526,6.50144784560553,95.6155485225684,3.39580600636058e-09,7.65768121178246e-07
NCAPH2,0.974690490945085,6.24071297516047,95.5336921053507,3.42081798641453e-09,7.65768121178246e-07
RPS28,1.12822924819259,7.85317801970015,95.4086532152959,3.4593949642015e-09,7.65768121178246e-07
PPID,-0.811514359677081,6.30123302154868,95.2569322505479,3.50686193201032e-09,7.66449090102408e-07
EIF5B,-0.823626331104081,8.56526974958359,95.0562737198217,3.5707301997179e-09,7.70652845354116e-07
SLC4A2,0.809704712877743,6.99021061703541,94.5892158506601,3.72440570261266e-09,7.93896158781608e-07
TMEM132A,0.896505175763542,5.74618923256917,94.0608535330604,3.90709378072784e-09,8.22681478268864e-07
TIGD5,1.20306746324858,4.48515066061448,93.5543412178974,4.09164964411777e-09,8.51161719943825e-07
RNPEPL1,1.10294915798015,4.69066257475103,93.1961123909752,4.2277303540401e-09,8.6899990824829e-07
PAF1,-0.753770000152885,7.05049635157172,92.9823678480971,4.3111367215106e-09,8.75718666277671e-07
UPF3B,-0.911016631708187,7.01966472171708,92.5744888310596,4.47573163849087e-09,8.92334710712977e-07
FGFR3,0.851536890497383,6.08192286093911,92.5247119177772,4.49630023352421e-09,8.92334710712977e-07
PTMS,-1.06195343209335,7.94955127996079,92.213499445918,4.62716524517083e-09,9.07870853671813e-07
RECQL4,0.885668007407416,7.01098551723356,91.9892742163738,4.72405704233302e-09,9.16467066212606e-07
SNRPD3,-0.803734760125126,6.3307781455252,90.9068016710584,5.22419197401664e-09,9.98006440764853e-07
SIVA1,1.11266529863908,6.32238920263465,90.833788993977,5.25996676182102e-09,9.98006440764853e-07
HNRNPR,-0.701247895792818,9.01477721903874,90.0500613313001,5.66127159109899e-09,1.06247299230343e-06
RPS10,-1.40339929501316,5.25761695295042,89.3253189619065,6.06247034887347e-09,1.12553347358763e-06
LSM3,-0.785310998551187,7.20765819171449,89.1568119922174,6.16011523357101e-09,1.13149520875359e-06
PPIL4,-0.796110878538107,6.40141371681196,88.8319765531515,6.35332497520714e-09,1.13256622688883e-06
SRRM1,-0.865838735567733,7.9708629022143,88.8152380505792,6.36345259548886e-09,1.13256622688883e-06
UTP11,-0.752166035804443,6.34452906495688,88.7808869574428,6.38431321562954e-09,1.13256622688883e-06
RPF1,-0.654571063762526,6.83852916788707,88.6749842840088,6.44907204069501e-09,1.13256622688883e-06
CHORDC1,-0.913715732748285,7.28991383780153,88.5411621873479,6.53193950043396e-09,1.13256622688883e-06
FAIM,-0.847676956433259,5.37993830171853,88.4970914380317,6.55951712550002e-09,1.13256622688883e-06
SUN2,0.804635993082155,5.41605921295879,88.0862970472612,6.8225999534034e-09,1.16077251090526e-06
PSIP1,-0.963561362641359,7.90805657154173,87.9324122984851,6.92394102816727e-09,1.16077251090526e-06
OXLD1,1.01915029123916,5.62996339941407,87.7951009226721,7.0159702111501e-09,1.16077251090526e-06
ILVBL,1.07505979486351,5.26650196067938,87.7644839625339,7.03672870113617e-09,1.16077251090526e-06
PIDD1,0.940401854020639,5.67967028445182,87.7314772601029,7.05902430470588e-09,1.16077251090526e-06
CORO7,0.973328059979455,5.0249410498561,87.5989366411431,7.1497645870107e-09,1.16460222037101e-06
CYB5R3,-0.735859427403847,7.61229816117873,86.4951279635156,7.9558951203818e-09,1.28379892662161e-06
RSL1D1,-0.638994558904795,8.52075710046848,86.1741950131084,8.20867964891905e-09,1.31232465572441e-06
VARS2,0.747050315008223,5.96177298398453,85.5808994867129,8.69955087784263e-09,1.37702910371279e-06
DNAJC2,-0.867529841514195,6.72997987179881,85.4953522365426,8.77291795484806e-09,1.37702910371279e-06
DALRD3,1.45037866234152,3.87175105498356,84.9058702184438,9.29875115931764e-09,1.43926453843961e-06
TPP1,-0.798648082087141,6.60024664070057,84.7839368106821,9.41025150485333e-09,1.43926453843961e-06
JRK,0.740269325373735,5.99360271670996,84.7638471688027,9.42899781688513e-09,1.43926453843961e-06
C4orf48,1.68066758484712,3.7347291841837,84.6868716202905,9.50284706255734e-09,1.43926453843961e-06
TBRG4,0.816474643870044,6.72199174122213,84.2656571860774,9.90652562178089e-09,1.4635087722303e-06
EAPP,-0.72931098805475,5.41744897281727,84.2165737103379,9.95502428583339e-09,1.4635087722303e-06
SMIM10,-0.989045929112839,4.49736281223937,84.1701627848516,1.00014104783904e-08,1.4635087722303e-06
AKR1B1,0.753355074144079,8.06329916602919,84.1692365749505,1.00019712222388e-08,1.4635087722303e-06
MAN2C1,0.820870793743026,6.04936315464913,84.03516593318,1.01364175158207e-08,1.47071751956437e-06
PFKL,0.733038071798688,7.35057579982484,83.9177287611692,1.02557506684219e-08,1.47563159200811e-06
HNRNPH3,-0.677668183090627,8.25932812417542,83.498459984126,1.06946456473685e-08,1.52606406402863e-06
PSMC3IP,-0.831106337728281,4.96854430295399,83.2863394186695,1.09246600744054e-08,1.54610803971052e-06
NPDC1,0.907504094193707,6.06619826547861,82.9347783893334,1.13175590778289e-08,1.57395927250689e-06
RBM25,-0.846620732277284,8.09932700495706,82.8475073050586,1.14174679381246e-08,1.57395927250689e-06
BRAT1,1.05081301247417,6.09636390188931,82.790628881782,1.1483169535562e-08,1.57395927250689e-06
JAG2,0.838597454882756,6.02246406054505,82.6806846335979,1.1611262618392e-08,1.57395927250689e-06
TCF7L2,-0.986666537821218,5.423702580127,82.6643292249686,1.16304639765604e-08,1.57395927250689e-06
CCDC181,-1.06208588870921,4.74257308938561,82.6322435508697,1.16684111479719e-08,1.57395927250689e-06
CLEC2D,-1.28368650827926,4.01396107350135,82.4992206576697,1.18269085796405e-08,1.58297212043467e-06
NUCB2,-0.757770287306696,6.40332494398076,82.327479488488,1.2033480438988e-08,1.59524645188425e-06
FTH1,-0.804577640269003,7.94359923444389,82.1297988577407,1.22771218267731e-08,1.59524645188425e-06
