Gene,logFC,logCPM,F,PValue,FDR
TERT,-8.41134227951875,10.8566276409822,4346.44931194578,1.75264740223033e-25,3.02612100469089e-21
HSPA6,-2.11145075862464,3.89668178950257,302.26803837003,8.46400716405323e-14,7.30697738472715e-10
CRYAB,-5.62747014339976,0.747282935607624,134.647435712603,4.46849215103287e-11,2.57176618265779e-07
GDF15,-1.58730833402774,3.137383669416,112.763274867566,8.1121820648044e-10,3.50162338827282e-06
FILIP1L,-2.21713665102381,1.48329950052704,76.6980777807653,2.17206829451745e-08,7.50058623462767e-05
ARHGAP30,-1.53752855715317,1.65566759775347,65.7949713082787,7.49526490690843e-08,0.000215688739804468
IL17RC,0.755538273674079,2.99780400141308,50.5394227723956,5.72859380182024e-07,0.00141299857974612
113384206;113383725;113384221;113384221;113384221;113383725;113384221;113383735;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384216;113384206;113384206;113383952;113383740;113383725;113383725;113383725;113383724;113383724;113383724;113383724;113383724;113383724;113383723;113384221;113384221;113384221;113384221;113383725;113383725;113383724;113384221;113384221;113384221;113384206;113383732;113383725;113383724;113383724;113383724;113384221;113383725,12.30193814552,5.05832006101403,48.7929550620447,1.31586493880448e-06,0.00279509819379132
FCGRT,0.752522974641667,3.78117926980248,44.1693713736171,1.53458669250878e-06,0.00279509819379132
HES4,0.733871452914694,7.13896528344854,43.8407488560163,1.61884524139425e-06,0.00279509819379132
C4orf48,0.971227975639972,3.7347291841837,43.02608977291,1.85091865713675e-06,0.00285807097330786
TNFRSF9,-2.91010256729759,-0.175949260271411,42.2220438343518,1.98638084557479e-06,0.00285807097330786
TSPO,0.76022140216781,5.60325826412772,40.1431879865133,3.01586192241198e-06,0.00400552861172041
HES6,0.672236728812954,4.95480063294352,39.3288790710105,3.47691575111794e-06,0.00417506167760681
SLC12A4,0.60527139160576,4.41943758154583,38.7414927824527,3.85746883437918e-06,0.00417506167760681
NDRG1,0.51110882962869,7.67891075635849,38.7246658023586,3.86893240134999e-06,0.00417506167760681
RPS29,0.757455998767289,8.27804242467189,37.440903037868,4.87331385185053e-06,0.00494956688035596
MIR210HG,0.888313710045723,3.1114585304358,36.5265508910208,5.76332004910605e-06,0.00506266436780239
BTG2,0.507964559654295,5.74198042447357,36.4929583776054,5.79855829713047e-06,0.00506266436780239
SPAG4,0.841951766768497,2.01018263194859,36.4338989861697,5.86431642279902e-06,0.00506266436780239
CHORDC1,-0.571648356641445,7.28991383780153,35.8927734559177,6.48323813381102e-06,0.00533045664849434
HILPDA,0.665629042189747,5.46843950316853,34.654671444371,8.19393780174163e-06,0.00618002489155968
CXorf40A,0.68711991212502,5.45510268895743,34.6302187039804,8.23239734193632e-06,0.00618002489155968
RPRML,0.810217456072573,3.06418970559249,34.2171775317588,8.91387676345416e-06,0.00641279150824165
BOLA1,0.569482084660316,4.30414271879174,33.6254359631729,9.9967955549208e-06,0.0069041868820505
HIST1H1C,0.585323787441541,3.77429936246299,33.1238696972801,1.102996353924e-05,0.00712278984627708
OXLD1,0.577069934412346,5.62996339941407,33.0740164962964,1.11383832879347e-05,0.00712278984627708
RPL10,0.537497377262053,9.95975296387526,32.7477019516136,1.18809770932563e-05,0.00727160201214869
REXO5,0.516980471495323,4.2173517809702,32.608945271852,1.22133938580049e-05,0.00727160201214869
PFKFB4,0.59185047886824,4.76873673984411,31.1675213768792,1.63371402787087e-05,0.00834422561800424
HAGHL,0.787377757899272,4.01747007441661,31.1519756817378,1.63896079254571e-05,0.00834422561800424
SLC2A3,0.909693963564297,3.10619928210031,31.0986424007757,1.65703662114364e-05,0.00834422561800424
MICOS10,0.561664579580566,5.67330734098315,31.0648421025018,1.66844471480385e-05,0.00834422561800424
IFI6,0.710047499716121,3.00784005830548,31.0134794659662,1.68625306652908e-05,0.00834422561800424
SNHG19,0.831644934827718,3.77276180562118,30.9983122211837,1.69146239215886e-05,0.00834422561800424
PGF,0.644226295574602,3.94409512897872,30.7735335142728,1.77156253051955e-05,0.00849661073665295
METRN,0.727808861418168,4.456160013703,30.306651234285,1.95163902210308e-05,0.00910729712314372
AC026803.2,-1.8601520610514,-0.211328155116049,29.5543024303525,2.324995041349e-05,0.0105640432589294
ADAMTS1,0.350935316030505,6.8987106749288,28.8021490928063,2.68333537946522e-05,0.0118796073491914
ANAPC11,0.591995512889851,6.0835696662138,28.5775439775665,2.81641681339436e-05,0.0121570631750167
NOXA1,0.776140117162553,2.64840972531268,28.3580937872157,2.95430000577433e-05,0.012441205829195
CDKN1C,0.810911672350096,1.75972590776377,28.1683387197411,3.07960912515479e-05,0.0126601264654578
PHLDA3,0.45277295479418,4.92027167122257,27.9972957421975,3.1950471675053e-05,0.0127074334410589
ANKRD1,-1.66325945974824,0.392865352924578,27.9171656180482,3.28003950927544e-05,0.0127074334410589
TMEM121,0.626836978213501,3.30465882159484,27.8336608944659,3.31191071960878e-05,0.0127074334410589
WNT11,0.662535179017401,2.45076881894031,27.4071038465448,3.63888539277179e-05,0.0136584772155647
LGALS3BP,0.47677481346717,4.47908717708588,27.2744989743134,3.74696188470271e-05,0.0137649029577185
B4GALNT4,0.579073662866944,4.74073482365743,27.1791321054305,3.82728778750866e-05,0.0137670731123176
NME3,0.738066519254022,5.32042127572504,27.0123856619711,3.97232237680359e-05,0.0139971669709981
GAS6,0.656757196062335,3.55741781257275,26.81909511123,4.14825239448731e-05,0.01420073859834
NGEF,0.530472308644889,3.58854614153895,26.7541191603111,4.20918847013331e-05,0.01420073859834
FOXD1,0.491212044799523,5.08585170341812,26.6207680967036,4.3372873958125e-05,0.01420073859834
RABAC1,0.593376584005978,5.81580654389982,26.5985197889991,4.35908227564012e-05,0.01420073859834
TMEM160,0.599219392587015,4.85402135365533,26.4617936166581,4.49584122830115e-05,0.0143445092436444
AL139246.5,0.917903731495939,2.17920124281327,26.3915323931884,4.56937338353088e-05,0.0143445092436444
TPGS1,0.834001625786978,2.64147121622542,25.9363834672571,5.06780620030431e-05,0.0152024906644487
DNAJB1,-0.4057580833973,7.08859086137981,25.9230471315498,5.08230161905998e-05,0.0152024906644487
TXNIP,0.448894075801294,5.12844608403893,25.9020576208908,5.10682531297361e-05,0.0152024906644487
PPFIA4,0.552555762145201,4.64933279800071,25.6928119618265,5.35822698374514e-05,0.0155061354887973
SPHK1,0.599163694768253,3.40372239744671,25.6184176017134,5.45111945420563e-05,0.0155061354887973
CASS4,1.8470732134998,-0.134624536521123,25.5602216497917,5.55745929674793e-05,0.0155061354887973
HSPH1,-0.364992470220559,8.46120905406112,25.526216572883,5.56805513903298e-05,0.0155061354887973
ENO2,0.483763858153141,5.07086252747895,25.4396846977865,5.6806591575115e-05,0.0155686128593006
C11orf96,0.79757709538398,2.84929481019313,25.1061492637921,6.13912493284849e-05,0.0164374450316246
NAGLU,0.48699522479902,5.28932423699542,25.0717077331092,6.18808019839917e-05,0.0164374450316246
SDC1,0.490900924700981,4.58832933153744,24.9969628746185,6.29714830151099e-05,0.0164737216021044
RRP15,-0.401107723855342,6.26541914706059,24.8628816765614,6.49802160229099e-05,0.0167454986545009
THAP1,-0.578580135256057,3.89229946874735,24.6818897821786,6.78065348308174e-05,0.0171956166065602
