Gene,logFC,logCPM,F,PValue,FDR
MTRNR2L12,1.80770351129488,5.08622728394711,128.210195737853,2.59622059861507e-10,4.48263448556877e-06
113384206;113383725;113384221;113384221;113384221;113383725;113384221;113383735;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384216;113384206;113384206;113383952;113383740;113383725;113383725;113383725;113383724;113383724;113383724;113383724;113383724;113383724;113383723;113384221;113384221;113384221;113384221;113383725;113383725;113383724;113384221;113384221;113384221;113384206;113383732;113383725;113383724;113383724;113383724;113384221;113383725,14.6780404687234,5.05832006101403,113.518205366162,2.30718892265847e-09,8.34500346934804e-06
MT-ND3,1.21578211639873,10.3212725682553,99.5613301209774,2.39875986205783e-09,8.34500346934804e-06
MT-ND6,1.46401648416071,10.5741635207001,98.5406694120443,2.62149468778598e-09,8.34500346934804e-06
MT-CO1,1.18358988118321,13.8290524040013,96.5211904520411,3.13214406201445e-09,8.34500346934804e-06
MT-ND1,1.43393627832972,11.823185340735,95.180986605386,3.53088310550735e-09,8.34500346934804e-06
MT-CO2,1.16746228591125,12.7915465376544,94.2138940327535,3.85315311958169e-09,8.34500346934804e-06
FRG1,0.909382355502198,4.84746663733087,94.1757824799372,3.86656016186634e-09,8.34500346934804e-06
FIP1L1,0.769031650066161,6.38125741537195,92.135840609367,4.66047761985323e-09,8.73426424372485e-06
RPS10,1.38159185165663,5.25761695295042,90.0728810481589,5.64915514042267e-09,8.73426424372485e-06
NUCB2,0.784514990239962,6.40332494398076,89.6115669544936,5.90038609523755e-09,8.73426424372485e-06
RPL39,0.954479117902104,8.19884884241237,89.3115044629444,6.0703794118324e-09,8.73426424372485e-06
MT-ATP6,1.36298131434162,12.4574688401562,86.9294252107875,7.6273143959303e-09,9.84250011509681e-06
CYB561A3,-0.96593369860205,4.18020880583449,86.1836947424323,8.20182312415095e-09,9.84250011509681e-06
RWDD1,0.798183176902898,6.77574901313147,85.0883321537369,9.13153906725904e-09,9.84250011509681e-06
MT-CO3,1.01283065226164,13.0567225264792,84.765542356257,9.42738253970304e-09,9.84250011509681e-06
TCEAL4,0.947096710804204,7.20691272169696,84.4872899566351,9.69086655604342e-09,9.84250011509681e-06
PKD1,-0.802547466648505,5.95678317482009,80.606630602769,1.43467903414632e-08,1.37617601130947e-05
ZCRB1,0.794246952665772,6.37239287003621,78.3153573235581,1.82175387652503e-08,1.65549486484638e-05
PPP1R15A,0.90576869125953,5.68296852338584,77.0598751849421,2.08147400227183e-08,1.71941935932129e-05
MT-ND2,1.37831504940456,11.8276168987943,76.9195016526502,2.11294482276664e-08,1.71941935932129e-05
PSMC3IP,0.779279341832804,4.96854430295399,76.3133049758666,2.25503109365942e-08,1.71941935932129e-05
CIR1,0.9345198825907,5.48446037836676,75.9674587057058,2.34073053206904e-08,1.71941935932129e-05
MT-ND4,1.27752477388668,13.1388009275884,75.4598122976743,2.47308799291776e-08,1.71941935932129e-05
HMGN5,1.20392929449831,7.36293089163063,75.3985767831091,2.4896029180489e-08,1.71941935932129e-05
PTMS,0.950524876150598,7.94955127996079,74.7985705475709,2.65797157189283e-08,1.73567392290776e-05
PTMA,0.745744801664091,10.6694114088078,74.6074700477345,2.71418950066659e-08,1.73567392290776e-05
NEFM,0.886647482149006,7.15303913597811,73.1704741536338,3.18120184016035e-08,1.96166539186459e-05
SMIM10,0.891168621243636,4.49736281223937,72.2054900289875,3.54414919895977e-08,2.11011310583584e-05
WDR6,-0.649022721303361,7.57679796830897,71.6397472750081,3.77771433236595e-08,2.16040899143055e-05
RNF214,0.706123091598081,5.07424868247825,71.4066820919353,3.87887633119118e-08,2.16040899143055e-05
CAPN15,-0.704515502047419,6.59384583629836,70.1392085213411,4.48359122691893e-08,2.41917769137445e-05
NSA2,0.710894528363347,7.6229289366117,68.5455043005348,5.39537668990462e-08,2.82292648266343e-05
LRP3,-0.740615817712564,5.87770257704792,68.1329689369987,5.66336080625987e-08,2.83743941182092e-05
PRAF2,0.921768514908558,5.4730504378562,68.0014580138567,5.75178845208688e-08,2.83743941182092e-05
COL18A1,-0.672368323661916,6.18988779410602,67.6269344818403,6.01211308897569e-08,2.85068354207072e-05
