Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.5,9.47983653852025,-0.5389641536708,0.920870943460172,-0.585276533588564,0.558361790987868,0.927768462394583
LINC01409,85.8672761861248,-0.174964680669153,0.339643030777338,-0.515142855334651,0.606453197681711,0.933953670129718
FAM87B,2.60632393475073,-3.17399274455269,1.94687248166668,-1.63030335804813,0.103037398209197,0.746446710338153
LINC01128,518.586690994404,-0.128308921084384,0.173820349026958,-0.738169735607217,0.460411311327325,0.905537844456458
LINC00115,62.1689721678832,0.0161422880740582,0.36302926833436,0.0444655279397218,0.964533329504578,0.99378155876328
AL645608.6,22.5445985399107,-0.115479363526847,0.55268992421677,-0.208940598456712,0.83449461055792,0.979782872034713
AL645608.2,175.066007487928,-0.385827662528446,0.212844000040151,-1.81272510597275,0.069874230252477,0.705925513495349
AL645608.4,3.19828344677497,-2.08784045992631,1.52130668189317,-1.37239945421664,0.169939119941709,0.793348264564475
LINC02593,1160.65521448887,0.00751077455040572,0.153784280115772,0.0488396768821329,0.96104706230792,0.993529955248482
SAMD11,2146.8561423618,-0.233881257954643,0.142424372022569,-1.64214350839884,0.100560266776131,0.746054075346082
NOC2L,8366.35006839828,-0.0790715010644321,0.120175934221282,-0.657964521572486,0.510560928934391,0.916905209838098
KLHL17,1914.85012412966,-0.0773493459942944,0.123688167076178,-0.625357686371535,0.531736326928688,0.921770003896266
PLEKHN1,11.9464474476868,-0.38591855587871,0.850163723529314,-0.453934395455775,0.649876046462512,0.940391889938147
AL645608.7,304.60033272989,-0.556060879000423,0.249443712969716,-2.22920382470387,0.0258003461810428,0.648360255653783
HES4,4653.4553198556,0.584590209938163,0.177530703190886,3.29289638034947,0.000991610125797571,0.361419307831869
ISG15,134.073658569397,0.0310811716583457,0.290564290289443,0.106968311995202,0.914814118846963,0.98846546090907
AL645608.1,22.6880285853439,-0.367311922020857,0.600757905054974,-0.611414213496276,0.540925395302,0.9248320305794
AGRN,2612.08884368057,0.0126586110538965,0.112732976384962,0.11228844886229,0.910594700351695,0.988321149881408
AL645608.8,10.6799764156249,-0.152033788543456,0.80010982614022,-0.190016149753936,0.849296475409775,0.9808963506254
C1orf159,754.268695938703,0.0909511267309664,0.149386241994724,0.60883201502705,0.542635790616068,0.925007409805629
AL390719.3,18.8465332518507,-1.01997605140624,0.599945112571953,-1.70011561063249,0.0891091815073263,0.729643125171659
SDF4,3466.91349779168,0.0162849929938861,0.119784022214885,0.135952965118101,0.891858464026861,0.986627912656575
B3GALT6,1463.55995341933,-0.0221752398717136,0.153767811069339,-0.14421249621427,0.885332673542948,0.986594658804185
C1QTNF12,43.5577288404897,1.17724434879336,0.542733523030392,2.16910196042457,0.0300749439023746,0.652643265516889
AL162741.1,13.7220209862945,1.99765504974591,0.746796423642389,2.67496601015126,0.00747368269686908,0.565913499401521
UBE2J2,2077.40709398882,0.0210755418231459,0.147817277218475,0.142578338741797,0.886623205856823,0.986594658804185
LINC01786,49.797353339021,0.746793546696187,0.40610003400743,1.83893987726808,0.0659240296474236,0.699373293692703
SCNN1D,306.548009067568,0.124724024062751,0.227726895000406,0.547691233670615,0.58390393246063,0.932154063874253
ACAP3,1849.01694020478,-0.104133096888967,0.162014000881062,-0.642741345332329,0.520391948274466,0.919314557825812
PUSL1,1037.12868102765,-0.0774550741922472,0.209879790178364,-0.369044938183056,0.712094229387486,0.953224662516602
INTS11,3347.31394535002,-0.048476170415398,0.119225651876657,-0.406591783331563,0.68430783307523,0.949753562569465
AL139287.1,135.334104840436,-0.163529453280352,0.252778749412946,-0.646927218605729,0.51767904889442,0.919152898493069
CPTP,591.378467550321,0.177546514206523,0.145909832775476,1.21682350551199,0.223671374741036,0.821885072955714
TAS1R3,14.4732733407934,-0.874542598765343,0.809447513089336,-1.08041915581106,0.279955569408734,0.84578985270645
DVL1,4026.98262393647,-0.261577824084703,0.136683312575696,-1.91375098507245,0.0556519810583993,0.688549593761181
MXRA8,270.98825055602,0.0187702384059195,0.241970756354249,0.0775723425786196,0.938168243493433,0.989889615619693
