Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.5,9.47983653852025,-0.495896408229527,0.567143845501352,-0.874375014668735,0.381914059449577,
LINC01409,85.8672761861248,0.405626367518471,0.235207391175926,1.72454770868607,0.0846090140663678,0.19295688569435
FAM87B,2.60632393475073,0.702321847790642,1.19087576764474,0.589752404803451,0.555356655986175,
LINC01128,518.586690994404,-0.0793354253249156,0.120063712343001,-0.660777713571507,0.508754877188149,0.667112502548484
LINC00115,62.1689721678832,0.578758848383243,0.251510583381019,2.30113119139193,0.0213842167505794,0.0692041466722361
AL645608.6,22.5445985399107,-0.501022780649035,0.357660040531411,-1.40083521744452,0.161263354684526,0.308096613573503
AL645608.2,175.066007487928,0.165740162491589,0.141655142921212,1.17002573343753,0.241990613165668,0.409641795475893
AL645608.4,3.19828344677497,1.60860900466588,1.12954628946599,1.42411959533449,0.154411854915683,
LINC02593,1160.65521448887,-0.529274733087143,0.106262052372365,-4.98084425503518,6.33074754695088e-07,1.61481464051176e-05
SAMD11,2146.8561423618,-0.413141588775068,0.0993268562682625,-4.15941472726423,3.19064108766594e-05,0.000394138016711674
NOC2L,8366.35006839828,-0.07158068018377,0.0847374980133169,-0.844734407576215,0.398259144084628,0.570624279090444
KLHL17,1914.85012412966,-0.367698959935558,0.0859518454937414,-4.27796468852239,1.88609931141527e-05,0.000255649004809868
PLEKHN1,11.9464474476868,-0.489065381366481,0.542057104422491,-0.902239593165248,0.36692960662961,
AL645608.7,304.60033272989,-0.168970389416743,0.171126472589525,-0.987400645030804,0.323446268283995,0.498184596884723
HES4,4653.4553198556,-0.818104535707616,0.125023901888906,-6.54358505331702,6.00613000597761e-11,8.525367869596e-09
ISG15,134.073658569397,-0.380154004479478,0.196148577244138,-1.9380920821379,0.0526119892893205,0.136286210849152
AL645608.1,22.6880285853439,-0.283199792254358,0.397492662939248,-0.712465458255871,0.476176593702842,0.640613179593205
AGRN,2612.08884368057,-0.490980859751671,0.0783467028603697,-6.26677118278612,3.68611181868122e-10,3.59924166754033e-08
AL645608.8,10.6799764156249,0.403504755324711,0.542020673754649,0.744445322591812,0.456607108336149,
C1orf159,754.268695938703,-0.25351732733185,0.103133490655527,-2.45814745259246,0.0139655820415541,0.0499166175558464
AL390719.3,18.8465332518507,0.587346116484728,0.399473624429966,1.4703001163665,0.141480489558468,0.281170161334135
SDF4,3466.91349779168,-0.0628379598719379,0.0840879847481528,-0.747288213175049,0.454889605793101,0.622518983825052
B3GALT6,1463.55995341933,-0.421953000045427,0.107226539722481,-3.93515449754797,8.3143193784733e-05,0.000856732103793059
C1QTNF12,43.5577288404897,-0.845595692541479,0.372945979104222,-2.26734095531078,0.0233694054051744,0.0740498108435974
AL162741.1,13.7220209862945,-1.0617126834107,0.530643247701875,-2.00080315354768,0.0454136074501476,
UBE2J2,2077.40709398882,-0.237919554740822,0.103548024677897,-2.29767352376743,0.0215803775495471,0.0696150114666857
LINC01786,49.797353339021,0.182937295398176,0.281341649835133,0.65023182847395,0.515542484516644,0.673076672427198
SCNN1D,306.548009067568,-0.400404527221536,0.155818813031373,-2.56968025511089,0.0101792419458367,0.0393654671944123
ACAP3,1849.01694020478,-0.464008597626234,0.113218585801658,-4.09834299148645,4.16118354633641e-05,0.000488819492454691
PUSL1,1037.12868102765,-0.564994767916096,0.146489045966263,-3.85690796324946,0.000114830373784235,0.00111839239524289
INTS11,3347.31394535002,-0.124955021202998,0.0836687035811382,-1.49344995027707,0.135319446133265,0.272308625521522
AL139287.1,135.334104840436,0.184013809944759,0.174415278112813,1.05503263209395,0.291410400677484,0.464166868321354
CPTP,591.378467550321,-0.371933410571346,0.100218944599945,-3.71120861485852,0.000206272017608183,0.00178955859079425
TAS1R3,14.4732733407934,-0.827512001045471,0.499028078219958,-1.65824737557298,0.0972675459938018,
DVL1,4026.98262393647,-0.396421837766581,0.0958948564713339,-4.13392180095796,3.56624860556627e-05,0.000429462616836849
MXRA8,270.98825055602,-0.360275659487122,0.166593209863046,-2.16260710615577,0.03057141124013,0.0906849331097509
AURKAIP1,4008.05617870387,-0.369804551910351,0.114611763263258,-3.22658461384043,0.00125277184917442,0.00762708198881805
CCNL2,5825.33773658955,-0.252571929563717,0.0691548937046585,-3.65226401247006,0.000259938436703436,0.00217276784878063
MRPL20-AS1,1022.21304488369,-0.333989728268024,0.0892093209711264,-3.74388824656701,0.000181194268445964,0.00161400821340885
MRPL20,3610.86491100099,0.00727672228345301,0.107444807021725,0.0677252115309928,0.946004379484537,0.969401546624195
AL391244.2,196.311057752532,-0.306123715708559,0.200021636634034,-1.53045300928445,0.125904636396735,0.258743117792181
ANKRD65,5.54367777955561,0.236960824309817,0.846585011499325,0.27990198396042,0.779552705059225,
LINC01770,15.5280524638909,-0.273748625696786,0.423603469062839,-0.646237922230464,0.518125283777449,0.675458069431543
VWA1,635.20591190579,-0.217094372060772,0.144467667535629,-1.50271943725562,0.132911408241705,0.268910108003872
ATAD3C,13.477837714639,0.263140378353749,0.520713638342297,0.505345662140637,0.613316076615225,
ATAD3B,2643.78305226991,-0.594909627567498,0.121096493630147,-4.91269077851644,8.98348997239763e-07,2.13846119995118e-05
ATAD3A,2550.97912188577,-0.448875631353,0.105054927870416,-4.27277083000508,1.93058847606174e-05,0.00025984127601428
TMEM240,20.7493167363806,-0.71043495266568,0.405500926603597,-1.75199341371709,0.0797749404462022,0.185303986924165
SSU72,5255.71067504778,-0.101099350902347,0.0834915456242428,-1.21089327244401,0.225936311329555,0.391588881026804
