Gene,logFC,logCPM,F,PValue,FDR
TSPO,-1.30591381577244,5.60325826412772,111.119279825446,9.22664989905202e-10,1.01489954591446e-05
HES6,-1.15610712122436,4.95480063294352,108.086542664639,1.17560470973528e-09,1.01489954591446e-05
MT-ND3,1.20732121330893,10.3212725682553,98.0803202273773,2.72929873971586e-09,1.23693160034252e-05
MT-CO3,1.08811399508588,13.0567225264792,97.5260832968878,2.86558925134373e-09,1.23693160034252e-05
RPL10,-0.918382328176,9.95975296387526,94.383578858709,3.79434923963912e-09,1.28740487797232e-05
TMEM258,-0.880195372303018,5.81050026295556,90.6593735401423,5.34654232251522e-09,1.28740487797232e-05
MT-ND6,1.37437078463828,10.5741635207001,87.058452376749,7.53258619566001e-09,1.28740487797232e-05
MT-ATP6,1.36118328290691,12.4574688401562,86.6546223442575,7.83345330172274e-09,1.28740487797232e-05
MT-ND1,1.35715389825545,11.823185340735,85.5140602786299,8.75680376207119e-09,1.28740487797232e-05
LRP3,-0.784684701396677,5.87770257704792,85.0027085050207,9.20910026316913e-09,1.28740487797232e-05
MT-CO2,1.10647317244968,12.7915465376544,84.8319036984279,9.36571150286881e-09,1.28740487797232e-05
RPRML,-1.38039381561503,3.06418970559249,84.1345957684834,1.00402687735082e-08,1.28740487797232e-05
C4orf48,-1.44452324720602,3.7347291841837,84.1033802134954,1.00696194491777e-08,1.28740487797232e-05
TMEM160,-1.10951638818674,4.85402135365533,83.7407973139399,1.04388209727861e-08,1.28740487797232e-05
MT-ND5,1.26684274462527,12.0641844712725,82.8385064814224,1.14278297220167e-08,1.3154193865356e-05
SIVA1,-1.01425683476367,6.32238920263465,81.8612722358578,1.26168388787172e-08,1.34469964061504e-05
HNRNPA1P48,0.786434484915856,5.34805412793567,81.3888219052517,1.3239831976402e-08,1.34469964061504e-05
MT-ND2,1.39596432356418,11.8276168987943,78.7423939830626,1.74169243361612e-08,1.67067008660088e-05
RBX1,-0.82125091390163,5.90199203475629,76.6293161334571,2.17969113103116e-08,1.94668496789515e-05
NME3,-1.28326754992821,5.32042127572504,76.3138073054487,2.25493451626914e-08,1.94668496789515e-05
SNX17,-0.912456323171068,6.46383799583629,75.7467865128206,2.39728580870317e-08,1.97102556062233e-05
MT-CYB,1.0948854165366,11.7437195056961,75.1507880189928,2.55767287039311e-08,1.98252227793647e-05
FAIM,0.748841374865389,5.37993830171853,74.8574741362663,2.64091349429739e-08,1.98252227793647e-05
MFSD10,-1.03070513952525,5.66297887563239,73.8997013060134,2.93410528586083e-08,2.01092322831459e-05
MT-ND4,1.26164367860338,13.1388009275884,73.6298950113936,3.02294969984746e-08,2.01092322831459e-05
ANKRD9,-0.855283733766147,4.94699772095981,73.6146167486395,3.02814803290741e-08,2.01092322831459e-05
ESRRA,-0.889241109019356,4.89385649559545,72.6919314342155,3.35585845344763e-08,2.14600933545285e-05
CYB561A3,-0.76097470704134,4.18020880583449,71.4643520363608,3.85385842421254e-08,2.37645426973049e-05
DALRD3,-1.14795602776234,3.87175105498356,70.9726669068265,4.07568732609395e-08,2.42657990939097e-05
TSPAN4,-0.895825202854258,4.62912562266602,68.9620984516318,5.13906305737829e-08,2.95770209162312e-05
ILVBL,-0.878270594818141,5.26650196067938,68.424756770781,5.47243337215541e-08,3.02241203409028e-05
YBX1,0.631398864067973,10.7933736754664,68.2260618531487,5.60159765382189e-08,3.02241203409028e-05
RPS28,-0.932131715217025,7.85317801970015,67.8660051605649,5.8444669029086e-08,3.05789592562485e-05
ALDH16A1,-0.721003155080782,4.87645811790931,65.7318895747445,7.54396239566281e-08,3.8164750370106e-05
CYB561D2,-1.11145816522274,3.7411171688125,65.5249422106045,7.73639675057171e-08,3.8164750370106e-05
CHCHD2,-0.780572021572221,8.1284764031267,65.0745944949068,8.17129251483813e-08,3.8830145145961e-05
LAGE3,-0.950560559191984,5.71816729799736,64.9260087088129,8.32106666512544e-08,3.8830145145961e-05
TELO2,-0.835940017701888,6.35431982482439,64.5892072490432,8.67144547028925e-08,3.93275729408323e-05
MT-CO1,0.962420156437353,13.8290524040013,64.392847899027,8.88321177280471e-08,3.93275729408323e-05
LSM7,-0.804211136189763,6.22572796285646,63.5081728350649,9.91043916577211e-08,4.27784106590553e-05
INTS5,-0.747311547118555,4.80964984796618,62.1089731387912,1.18116686016357e-07,4.69718056817644e-05
PTMA,0.678856391068243,10.6694114088078,61.9503723218926,1.20509704538967e-07,4.69718056817644e-05
MFSD3,-0.80612150045134,5.86683459901187,61.8347394089486,1.22290967448466e-07,4.69718056817644e-05
RSRC2,0.618362472129492,7.40006841680385,61.6492900674526,1.25205919968447e-07,4.69718056817644e-05
RABAC1,-0.920822956279813,5.81580654389982,61.6181207718105,1.25704437565809e-07,4.69718056817644e-05
PLEKHG4,-0.677665902470359,4.84417904076035,61.5931842339189,1.26106052251775e-07,4.69718056817644e-05
MICOS10,-0.80448616123887,5.67330734098315,61.4844321064835,1.27862554560577e-07,4.69718056817644e-05
