Gene,logFC,logCPM,F,PValue,FDR
TERT,-8.49477725067796,10.8566276409822,4337.22634355904,1.79131054175531e-25,3.09287678139472e-21
HSPA6,-2.39508483751476,3.89668178950257,345.328463023476,2.31752530024809e-14,2.00071959170418e-10
CRYAB,-4.13204522614165,0.747282935607624,128.389920403387,7.13414212892404e-11,4.10593659993342e-07
GDF15,-1.9099467595187,3.137383669416,136.197183447879,1.50881736620663e-10,6.5128101612309e-07
AC026803.2,-3.3160084539194,-0.211328155116049,91.9838114917447,4.95831733173766e-09,1.71220614099565e-05
ANKRD1,-2.81774290858802,0.392865352924578,72.5812254056588,3.47218987392594e-08,9.9918050605342e-05
FILIP1L,-1.89692952414079,1.48329950052704,69.2101072787754,5.01037059895799e-08,0.000123584369659441
ARHGAP30,-1.53577993423425,1.65566759775347,64.3408214966729,8.95065792919916e-08,0.000193177574756941
TNFRSF9,-3.85821855154983,-0.175949260271411,56.1601831011147,2.37644520732682e-07,0.000455907810552276
HSPA1A,-1.10744504763949,1.50266228763652,32.6330205095384,1.21606850667953e-05,0.0182960086165379
LRP1,0.527731121697209,5.5536761344521,32.3029753328141,1.29821694965045e-05,0.0182960086165379
TNFRSF10B,0.416547612282056,6.41329595744425,32.0204668982832,1.37395617399556e-05,0.0182960086165379
NUPR1,-1.33447841615093,1.45741399973788,31.642508857384,1.48379925598278e-05,0.0182960086165379
DNAH17,1.02180197228366,2.14442560319199,31.512623605741,1.52340469466433e-05,0.0182960086165379
PKD1,0.505588986879064,5.95678317482009,31.3017285916438,1.58948296796055e-05,0.0182960086165379
IER3,-0.704888390804215,2.9238395683909,30.9838927245746,1.69652899179565e-05,0.0183076684827148
TPP1,-0.467489494825487,6.60024664070057,29.633947399865,2.24742779208797e-05,0.0215628973755073
MAN2C1,0.488980026574651,6.04936315464913,29.6328393307642,2.24795640425769e-05,0.0215628973755073
DDX10,-0.432337378196866,6.63965729809499,28.7090152589274,2.73766016431344e-05,0.0248781265247557
TOMM34,-0.469838876329565,6.50195065555954,27.5936275248649,3.49129490104922e-05,0.0301403488807579
RPS10,-0.731037410447851,5.25761695295042,25.9934056002301,5.00114678996272e-05,0.0411189526073792
CISD1,-0.398066371809759,5.85508886471357,25.7750997454581,5.25773531735864e-05,0.0412636627225065
ZFAND2A,-0.629479866325572,3.35200063479747,25.460839043734,5.6530979252527e-05,0.0424375603380057
CYB5R3,-0.393930601320252,7.61229816117873,25.1367149712559,6.09489261382237e-05,0.0438476732792738
PLXNB2,0.35085883422653,6.70056216467486,24.5604879684963,6.97756051640771e-05,0.0481898239505182
RPL39,-0.484371330063925,8.19884884241237,23.2881409751027,9.46803788262834e-05,0.0592193511388834
TUBGCP6,0.39155909355396,6.42022201249492,23.2710920264213,9.50744925222017e-05,0.0592193511388834
KIFC2,0.533878189772251,4.96150778498642,23.0930766691005,9.92992612086024e-05,0.0592193511388834
SEMA4C,0.465273623110566,4.63954912170469,23.0862803345349,9.94649127202374e-05,0.0592193511388834
VGF,-1.01758762482835,1.53571571210109,22.6579675857521,0.000110557455481554,0.0621276980484878
SLC39A4,-0.497852126825136,5.13098102143988,22.6144309826926,0.000111715102540086,0.0621276980484878
COL18A1,0.390806102114691,6.18988779410602,22.4403988502653,0.000116644925334931,0.0621276980484878
CXCL8,-3.54825355839715,-2.05204809146471,20.9113941234637,0.000125881346486553,0.0621276980484878
RPF2,-0.344946384628183,7.04537176070334,22.0160709386091,0.000129698082315914,0.0621276980484878
EIF5AL1,-0.598122890475472,4.80852378976386,21.9021089027812,0.000133472315466344,0.0621276980484878
GPATCH4,-0.380557998465441,7.55882426556972,21.8510089575935,0.000135202952606293,0.0621276980484878
CCDC57,0.37779241604967,5.67539094944714,21.84308021014,0.000135474150772599,0.0621276980484878
