Genes,CTRL_IgG_1,CTRL_IgG_2,TERT_IR_1,TERT_IR_2
ACTB,5.918369886,6.0331982,7.062572916,7.136604826
ACTG1,5.682593558,5.9107623,7.600142492,7.440717001
MYH9,5.062536697,5.421899691,6.862549691,6.694775703
MYH10,4.785817721,5.226381782,6.374173381,6.265680964
KRT1,5.56917104,5.569293951,5.728718039,5.808285232
KRT10,5.54651843,5.589141917,5.621661571,5.723758112
MYH14,3.688283439,4.652057254,5.423943979,5.310869309
KRT2,5.168846641,5.357546226,5.514383304,5.339150079
ACTBL2,5.582049708,1.731126403,6.899822576,6.627133669
KRT9,5.381629475,5.393270167,5.243833231,5.451493596
RPL7,4.417016366,4.800563459,6.754084781,6.672958103
RPL4,4.076585311,4.188558343,6.727151719,6.703960471
RPL7A,3.89474035,4.685714945,6.67681221,6.611378772
MYH11,2.258200347,4.660365047,2.897323076,3.959357193
KRT14,4.357687995,4.197447114,4.940240234,4.812561995
RPS8,4.84316156,4.633389492,6.798476149,6.694892669
RPL18,4.279572351,4.340051378,6.849600106,6.67000857
KRT16,4.255595359,4.070342687,1.155510007,4.813094802
DDX3X,2.892871102,3.30764095,5.735282978,5.557492525
HNRNPM,4.218824527,4.415858453,6.264760726,6.18602239
RPL6,3.657261237,3.842900972,6.382461851,6.195067107
KRT5,4.879684138,4.917042309,5.185106768,4.582978752
MYO6,3.530642216,4.062983402,5.514175131,5.315058714
SPECC1L,3.406181048,3.859940745,5.515800806,5.235278523
VIM,5.537761186,5.548556755,6.59429943,6.381796142
MYO1D,3.431571501,3.835648559,5.483976575,5.415076763
HSPA8,4.421630929,4.696208845,6.627447148,6.583090147
RPL13,4.367191393,4.618038016,6.84040407,6.730561449
DHX30,2.404797901,3.358543362,5.607966396,5.425791994
KRT6A,4.68434325,4.820398691,4.916830339,4.081751316
KRT77,4.958744491,4.967589501,5.306296519,3.820860329
KRT6B,4.660674827,4.851629867,1.700894373,3.384614526
PPP1R12A,3.072008668,3.42340432,5.069284151,4.855533246
RPL3,3.568298622,4.641215408,6.359515198,6.363695044
MYL6,6.035670424,6.014622419,6.365873065,6.507500523
MYO1B,3.406342716,4.08158201,5.488596541,5.347776757
RPL8,4.256710765,4.693420781,6.412562939,6.386355104
KRT27,1.331193319,1.260293953,1.665050199,4.532135246
RPS9,4.094245322,4.752924354,7.070604287,6.938948732
RPL5,1.313119077,3.033557119,5.6105538,5.536249481
MYO5A,2.755283893,3.38811565,4.950240289,4.741805819
RPL15,3.296131776,4.380598458,6.406366242,6.223278374
DOCK7,2.257730856,3.10399468,4.753627821,4.571154454
HNRNPU,3.45682054,3.884331925,6.070041393,5.941878182
TUBB,5.05916767,4.74447515,6.756140566,6.625360441
RPL18A,4.100493034,4.599327318,6.180350093,6.067062965
MPRIP,2.886195385,3.496660663,4.99392166,4.792661535
TUBB4B,4.637982045,4.274576695,6.027907074,5.786517529
RPL14,4.102138562,4.698595104,6.437444819,6.300182846
RPL24,4.157166642,4.368213481,6.548933161,6.380133575
DSP,3.146921511,3.300201728,4.18067913,3.966730758
DSG2,3.436426869,3.943758417,5.422125527,5.228233513
FLNB,1.780323641,2.903793012,4.543429652,4.261279191
DBN1,3.317979784,3.501279075,5.618914496,5.399203897
RAI14,2.773899421,3.448239928,5.125521069,5.004348245
DHX9,2.72115025,3.465065485,5.867173183,5.64788716
TUBB2B,4.412739535,1.730702409,4.86709349,4.886225
TUBB2A,1.589063752,3.069679128,4.783306568,4.646025006
JUP,3.665677217,3.887572009,4.860180283,4.724598317
RPL26,4.387497955,4.639713582,6.574736071,6.385415419
RPS4X,4.243759233,4.627289103,6.517408312,6.358098649
RPS6,3.817714078,4.180012064,6.474237908,6.388697213
MYO1C,3.268663512,4.089393053,5.362253272,5.283699095
DDX5,3.192331101,3.454965527,5.787295426,5.666990519
RPL10,3.993722998,3.941792381,6.259491712,6.226938104
RPL21,4.742964606,4.533126767,6.721926286,6.515470758
RPS2,3.708632771,4.103088854,6.416258294,6.227476318
RPS3A,4.293690988,4.564209604,6.376114892,6.252294346
RTCB,3.594983785,3.639370045,5.793254958,5.670438756
DDX21,3.232876094,3.696764941,5.67874895,5.571085547
KRT17,3.482633463,1.024151444,1.705621116,3.436858752
TPM3,5.067110522,5.209196018,6.097833075,6.174503221
RPL13A,3.965273564,4.691355394,6.537740514,6.348641225
KRT13,1.596474082,1.166471165,1.295476256,1.402839239
AMOT,3.313952991,3.946287228,5.150934445,4.865529439
FLNA,2.16152796,2.661176267,4.407996245,4.180091847
HIST1H1C,3.81097159,4.253689372,6.425122901,6.398227662
PPP1R9B,2.816733348,3.089328098,4.976140189,4.662694472
IRS4,3.03013203,3.569394965,5.153455933,4.959980896
DHX15,2.214071178,2.964037864,5.180100326,5.027917434
RPL35,4.926970685,5.448838966,6.29699558,6.248943158
KRT3,1.53349942,1.479149936,1.670245396,1.761686323
RPL19,1.379380423,3.951485588,6.606169511,6.41917427
DDX1,1.59084341,1.510741973,5.292449484,5.143420627
DDX17,3.174787074,3.677693961,5.836441865,5.659142604
RPS11,4.819979743,5.116877123,6.44328436,6.362250199
LIMA1,2.91083117,3.091980268,5.12272613,4.968517101
CAPZB,4.177377019,4.420449432,5.588508819,5.514124793
TPM1,4.013326189,4.18986149,5.359679591,5.515073459
BCLAF1,1.621705764,0.958298208,5.020269927,4.77262544
ACTN4,3.079539191,3.506380729,4.924077077,4.768508339
SRSF1,1.56324781,1.680003735,5.739606385,5.616335979
RPL26L1,4.00068331,0.99972963,5.376824905,5.096115651
HIST1H1E,2.983068875,3.162208147,5.826508231,5.475804361
HIST1H1D,3.255883826,4.036644763,5.65986638,5.631530792
KRT19,1.71039529,1.391503605,1.444143312,1.541409511
SRRM2,3.093870673,2.797025383,4.983146587,4.886421895
DDX41,3.356719111,3.885177548,4.786391515,4.668044205
HRNR,2.65113437,2.354627791,2.335295559,2.671694303
MYL6B,4.178598945,4.360605978,5.259996864,5.595421571
CLTC,2.77067674,3.350060526,4.843858335,4.58916456
RPS27A,4.930740021,5.008891871,6.506192756,6.405436265
RPS3,4.534503045,4.870088626,6.130644494,6.015474408
HSPA6,4.024179946,4.085571413,6.161491521,6.137876465
DSG1,3.219034924,3.385182793,1.315391164,2.699346982
FLII,2.975170029,3.352356399,4.595077713,4.499840222
THRAP3,1.083906435,1.956727081,4.719622699,4.493815883
HSP90AB1,3.868175846,4.187429143,5.805250995,5.731082048
RPL29,3.864141566,4.64204472,6.282560856,6.128338192
GNL3,1.408668723,2.034792412,5.134634,5.158471352
PAF1,1.8782994,1.717712686,1.431371729,1.646655201
GNAI3,4.163845121,4.032004574,5.29702013,5.133744291
PARP1,3.521954657,4.036724928,5.69400085,5.473351317
HNRNPH1,4.26696472,4.108068991,6.411186079,6.219738135
NOLC1,2.03242697,2.632297951,3.597502103,3.485499499
FXR1,2.36590918,3.336394039,5.363532562,5.305623411
ACTR2,3.868577942,4.135826365,5.330101637,5.175454953
TMOD3,4.121987921,4.426775414,5.749448914,5.645155324
RBM14,3.644937221,3.774809152,5.675171756,5.595064727
LTV1,3.839017627,4.202449619,5.029590591,4.88768992
SPTAN1,2.240611479,3.015454909,4.75720637,4.398745827
SLC25A5,4.128276197,4.35713947,6.14038195,6.010229346
ACTR3,3.789219163,3.330523299,5.11576349,5.087270337
IMPDH2,3.773600494,3.183396753,5.038253901,4.928600688
CDC73,2.051903932,1.678309467,4.471103566,4.232296051
MATR3,2.32477842,3.604391669,5.708857542,5.549024267
CAPZA1,4.152727283,4.609675967,5.739954338,5.622894793
LLPH,1.703475937,1.748059676,4.882459367,4.923508924
H1F0,1.694908532,1.528345201,1.590201603,3.527733214
RBMX,3.300077551,3.987196684,5.792289289,5.700496032
CTNNB1,2.632206292,2.837719456,4.172250526,4.10354501
XRCC6,2.602735645,3.542455016,4.917225167,4.609404726
HNRNPF,3.999937646,3.920798913,5.904232201,5.96024578
CTR9,1.285743088,1.604821642,2.975972136,0.765540202
RPL32,1.417243616,1.36908533,6.267098249,5.896684594
HSPA5,3.105164754,3.491889444,5.456479154,5.408759607
NPM1,4.090651955,4.371001933,6.191558611,6.022156465
FXR2,2.212175857,2.992483375,5.215224149,5.069901974
LMO7,2.32316423,2.555944849,4.344590418,3.976341506
MYO18A,1.612376518,2.514337045,4.453662215,4.149655242
GNAI2,4.276267509,4.144963314,5.124386165,4.997960595
SUPT16H,1.37006658,2.916818513,4.607462649,4.693621542
EIF4A1,4.038541912,3.980269403,5.822813846,5.734501353
ARPC2,3.253871886,3.559115297,4.823849236,4.682223126
RPL28,1.162569563,3.534989194,6.007224306,5.790942673
HSP90AA1,3.542074693,3.835584939,5.471324434,5.399759923
KRT84,1.594575763,1.808902429,1.925325504,1.475258968
UBTF,1.831941311,1.299847603,4.371045831,4.177205728
XRCC5,2.817613951,3.389952636,4.783185494,4.530747156
MRPS22,2.156463667,1.894711497,4.973555634,4.927029675
EEF1A1,4.805394765,4.603998206,6.216438571,6.137576432
HSPA9,3.164817387,3.524766672,5.011163128,5.043543062
DDX50,1.776265973,1.834622272,4.906591452,4.799598394
FLOT1,3.661169172,3.529926964,4.712520978,4.595375666
SRSF9,2.862024339,1.74110677,5.244847536,4.971271157
EFTUD2,2.100942995,2.664172067,4.788530791,4.661708769
WDR6,1.452382226,3.036542599,4.979933383,4.82115259
RPL11,4.826348961,4.720886519,6.25896337,6.094561766
TRIM28,2.654405645,2.852547058,4.951976167,4.773180201
ALB,3.644238923,3.878506838,4.923875749,4.998993023
TUFM,3.893638862,3.621824959,5.847689937,5.808704759
PLEC,1.979219582,2.573990573,4.403993867,3.955958751
SLC25A6,3.422772785,3.568352275,5.377975234,5.237174645
SVIL,1.617325834,2.447941026,3.75749715,3.554100784
SCRIB,1.209830135,2.230526881,4.068037897,3.702150648
EEF2,2.761502903,2.900312827,4.923444651,4.802010411
DDX24,1.431950655,1.312633655,4.405121646,4.241581398
ZC3HAV1,2.236016799,2.420911929,4.706170709,4.673615815
FMR1,2.24248774,3.268057025,5.227443674,5.100139184
EIF4A3,3.510319358,3.644414649,5.580563645,5.432800002
GNL2,1.645024125,1.473134528,4.434562744,4.5821727
YWHAE,3.859509183,3.416578495,4.951884472,4.998239896
PCM1,1.566759359,2.520802402,3.720686244,3.686151425
SPTBN1,2.87283697,3.251679444,4.728706089,4.396609969
TPM4,4.114245789,4.333948377,4.903916075,4.962209386
RPS13,4.665157282,4.450814589,6.277416829,6.260314709
MRPS27,1.504258988,1.925636104,4.866867423,4.510679676
