chr	coord	gene_name	refseqID	rel_location	utr5_st	utr5_end	cds_st	cds_end	utr3_st	utr3_end	utr5_size	cds_size	utr3_size
chr1	878151	SAMD11	ENST00000342066.3	1.624145	1359	1277	1276	-769	-770	-1191	82	2045	421
chr1	879955	NOC2L	ENST00000327044.6	2.242857	2418	2369	2368	119	118	-371	49	2249	489
chr1	934375	HES4	ENST00000428771.2	2.659794	1006	808	807	64	63	-33	198	743	96
chr1	934423	HES4	ENST00000428771.2	2.164948	958	760	759	16	15	-81	198	743	96
chr1	1152490	SDF4	ENST00000263741.7	2.757781	1899	1607	1606	560	559	-179	292	1046	738
chr1	1167317	SDF4	ENST00000263741.7	0.324232	94	-198	-199	-1245	-1246	-1984	292	1046	738
chr1	1168673	B3GALT6	ENST00000379198.2	2.014100	1044	1015	1014	25	24	-1748	29	989	1772
chr1	1169971	B3GALT6	ENST00000379198.2	2.746193	2342	2313	2312	1323	1322	-450	29	989	1772
chr1	1190426	UBE2J2	ENST00000347370.2	2.121800	1254	781	780	157	156	-1132	473	623	1288
chr1	1190513	UBE2J2	ENST00000347370.2	2.054306	1167	694	693	70	69	-1219	473	623	1288
chr1	1228559	ACAP3	ENST00000354700.5	2.324074	3092	2890	2889	385	384	-803	202	2504	1187
chr1	1247148	CPSF3L	ENST00000540437.1	2.359684	2367	1912	1911	91	90	-162	455	1820	252
chr1	1271532	DVL1	ENST00000378888.5	1.995211	2362	2078	2077	-10	-11	-876	284	2087	865
chr1	1309620	AURKAIP1	ENST00000338370.3	1.430000	658	258	257	-342	-343	-413	400	599	70
chr1	1310160	AURKAIP1	ENST00000338370.3	0.942643	377	-23	-24	-623	-624	-694	400	599	70
chr1	1322064	CCNL2	ENST00000400809.3	2.743207	2115	2110	2109	547	546	-189	5	1562	735
chr1	1322209	CCNL2	ENST00000400809.3	2.546196	1970	1965	1964	402	401	-334	5	1562	735
chr1	1322252	CCNL2	ENST00000400809.3	2.487772	1927	1922	1921	359	358	-377	5	1562	735
chr1	1322595	CCNL2	ENST00000400809.3	2.021739	1584	1579	1578	16	15	-720	5	1562	735
